Point	x	y	z
226	-0.044	0.095	10.332
227	-0.044	0.095	10.332
228	0.128	0.196	10.236
229	0.362	0.253	10.265
230	0.362	0.253	10.265
231	0.338	0.086	9.934
232	0.338	0.086	9.934
233	0.338	0.086	9.934
234	0.262	0.057	9.963
235	0.262	0.057	9.963
236	0.19	0.33	10.04
237	0.19	0.33	10.04
238	0.19	0.33	10.04
239	0.678	0.253	9.364
240	0.678	0.253	9.364
241	0.626	0.306	9.628
242	0.626	0.306	9.628
243	0.626	0.306	9.628
244	0.539	0.363	9.546
245	0.539	0.363	9.546
246	0.276	0.574	10.049
247	0.276	0.574	10.049
248	0.276	0.574	10.049
249	0.597	0.512	9.8
250	0.597	0.512	9.8
251	0.357	0.272	10.523
252	0.357	0.272	10.523
253	0.357	0.272	10.523
254	0.932	-0.143	11.16
255	0.932	-0.143	11.16
256	-0.053	0.023	9.058
257	-0.053	0.023	9.058
258	-0.053	0.023	9.058
259	0.195	0.09	10.135
260	0.195	0.09	10.135
261	0.477	0.397	10.116
262	0.477	0.397	10.116
263	0.477	0.397	10.116
264	0.549	0.201	10.207
265	0.549	0.201	10.207
266	0.688	0.248	10.025
267	0.688	0.248	10.025
268	0.764	0.531	9.637
269	0.764	0.531	9.637
270	0.788	0.622	9.46
271	0.788	0.622	9.46
272	0.788	0.622	9.46
273	0.726	0.526	9.417
274	0.726	0.526	9.417
275	0.731	0.608	9.599
276	0.731	0.608	9.599
277	0.731	0.608	9.599
278	0.764	0.641	9.834
279	0.764	0.641	9.834
280	0.511	0.569	9.848
281	0.511	0.569	9.848
282	0.511	0.569	9.848
283	0.386	0.703	10.135
284	0.386	0.703	10.135
285	0.195	0.622	9.657
286	0.195	0.622	9.657
287	0.195	0.622	9.657
288	0.171	0.43	10.049
289	0.171	0.43	10.049
290	0.286	0.464	9.68
291	0.286	0.464	9.68
292	0.286	0.464	9.68
293	0.401	0.565	9.546
294	0.401	0.565	9.546
295	0.63	0.56	9.273
296	0.63	0.56	9.273
297	0.63	0.56	9.273
298	0.889	0.593	9.34
299	0.889	0.593	9.34
300	0.745	0.383	9.317
301	0.745	0.383	9.317
302	0.745	0.383	9.317
303	0.87	0.392	9.393
304	0.87	0.392	9.393
305	0.875	0.363	9.594
306	0.602	0.373	9.886
307	0.602	0.373	9.886
308	0.602	0.373	9.886
309	0.731	0.464	9.422
310	0.731	0.464	9.422
311	0.453	0.708	10.169
312	0.453	0.708	10.169
313	0.453	0.708	10.169
314	0.233	0.665	10.327
315	0.233	0.665	10.327
316	0.602	0.555	9.791
317	0.602	0.555	9.791
318	0.602	0.555	9.791
319	0.209	0.421	9.853
320	0.209	0.421	9.853
321	0.223	0.33	9.733
322	0.223	0.33	9.733
323	0.223	0.33	9.733
324	0.084	0.464	9.968
325	0.084	0.464	9.968
326	0.219	0.459	9.685
327	0.219	0.459	9.685
328	0.219	0.459	9.685
329	0.295	0.383	9.599
330	0.295	0.383	9.599
331	0.271	0.253	9.862
332	0.271	0.253	9.862
333	0.271	0.253	9.862
334	0.223	0.167	10.131
335	0.223	0.167	10.131
336	0.156	0.043	10.011
337	0.156	0.043	10.011
338	0.156	0.043	10.011
339	0.051	-0.038	9.848
340	0.051	-0.038	9.848
341	0.017	0	9.819
342	0.017	0	9.819
343	0.017	0	9.819
344	0.118	-0.033	9.628
345	0.271	-0.004	9.594
346	0.271	-0.004	9.594
347	0.271	-0.004	9.594
348	0.587	0.076	9.685
349	0.587	0.076	9.685
350	0.798	0.033	9.819
351	0.798	0.033	9.819
352	0.798	0.033	9.819
353	0.673	0.081	9.929
354	0.673	0.081	9.929
355	0.659	0.009	9.867
356	0.659	0.009	9.867
357	0.659	0.009	9.867
358	0.515	-0.148	10.121
359	0.515	-0.148	10.121
360	0.582	-0.047	10.092
361	0.582	-0.047	10.092
362	0.582	-0.047	10.092
363	0.549	0	10.336
364	0.549	0	10.336
365	0.602	-0.047	10.303
366	0.602	-0.047	10.303
367	0.602	-0.047	10.303
368	0.693	-0.129	10.279
369	0.693	-0.129	10.279
370	0.731	-0.009	10.049
371	0.731	-0.009	10.049
372	0.731	-0.009	10.049
373	0.846	-0.095	9.939
374	0.846	-0.095	9.939
375	0.841	0.148	9.929
376	0.841	0.148	9.929
377	0.841	0.148	9.929
378	0.851	0.076	9.958
379	0.851	0.076	9.958
380	0.755	-0.181	10.035
381	0.755	-0.181	10.035
382	0.755	-0.181	10.035
383	0.755	-0.119	10.399
384	0.64	-0.172	10.356
385	0.64	-0.172	10.356
386	0.53	-0.067	10.332
387	0.53	-0.067	10.332
388	0.53	-0.067	10.332
389	0.52	-0.119	10.437
390	0.52	-0.119	10.437
391	0.626	-0.191	10.207
392	0.626	-0.191	10.207
393	0.626	-0.191	10.207
394	0.654	-0.09	10.188
395	0.654	-0.09	10.188
396	0.659	-0.067	10.126
397	0.659	-0.067	10.126
398	0.659	-0.067	10.126
399	0.602	0.033	10.054
400	0.602	0.033	10.054
401	0.544	0.081	9.819
402	0.544	0.081	9.819
403	0.544	0.081	9.819
404	0.616	0.095	9.695
405	0.616	0.095	9.695
406	0.654	0.22	9.58
407	0.654	0.22	9.58
408	0.654	0.22	9.58
409	0.563	0.148	9.752
410	0.563	0.148	9.752
411	0.592	0.148	9.824
412	0.592	0.148	9.824
413	0.592	0.148	9.824
414	0.525	0.134	9.882
415	0.525	0.134	9.882
416	0.439	0.153	9.786
417	0.439	0.153	9.786
418	0.439	0.153	9.786
419	0.487	0.167	9.575
420	0.487	0.167	9.575
421	0.535	0.148	9.518
422	0.535	0.148	9.518
423	0.659	0.311	9.355
424	0.659	0.311	9.355
425	0.841	0.445	9.546
426	0.841	0.445	9.546
427	0.841	0.445	9.546
428	0.793	0.383	9.532
429	0.793	0.383	9.532
430	0.779	0.411	9.465
431	0.779	0.411	9.465
432	0.779	0.411	9.465
433	0.803	0.44	9.479
434	0.803	0.44	9.479
435	0.808	0.33	9.575
436	0.808	0.33	9.575
437	0.808	0.33	9.575
438	0.87	0.363	9.843
439	0.87	0.363	9.843
440	0.851	0.368	9.915
441	0.851	0.368	9.915
442	0.851	0.368	9.915
443	1.028	0.402	9.781
444	1.028	0.402	9.781
445	1.028	0.445	9.8
446	1.028	0.445	9.8
447	1.028	0.445	9.8
448	0.99	0.411	9.771
449	0.99	0.411	9.771
450	0.98	0.411	9.676
451	0.98	0.411	9.676
452	0.98	0.411	9.676
453	0.903	0.416	9.781
454	0.903	0.416	9.781
455	0.812	0.421	9.949
456	0.812	0.421	9.949
457	0.812	0.421	9.949
458	0.817	0.368	9.695
459	0.817	0.368	9.695
460	0.76	0.11	10.102
461	0.702	0.148	9.963
462	0.702	0.148	9.963
463	0.702	0.148	9.963
464	0.573	-0.033	10.394
465	0.573	-0.033	10.394
466	0.592	-0.129	10.447
467	0.592	-0.129	10.447
468	0.592	-0.129	10.447
469	0.659	-0.067	10.48
470	0.659	-0.067	10.48
471	0.582	-0.043	10.743
472	0.582	-0.043	10.743
473	0.582	-0.043	10.743
474	0.64	0.253	10.111
475	0.64	0.253	10.111
476	0.492	0.052	10.552
477	0.492	0.052	10.552
478	0.492	0.052	10.552
479	0.525	0.158	10.753
480	0.525	0.158	10.753
481	0.41	0.143	10.973
482	0.41	0.143	10.973
483	0.41	0.143	10.973
484	0.386	0.158	11.581
485	0.386	0.158	11.581
486	0.492	0.22	11.672
487	0.492	0.22	11.672
488	0.492	0.22	11.672
489	0.611	0.407	12.328
490	0.611	0.407	12.328
491	0.769	0.617	12.606
492	0.769	0.617	12.606
493	0.769	0.617	12.606
494	1.234	1.024	13.387
495	1.234	1.024	13.387
496	1.962	1.331	13.77
497	1.962	1.331	13.77
498	1.962	1.331	13.77
499	2.431	1.565	14.895
500	2.431	1.565	14.895
501	2.953	1.594	15.441
502	2.953	1.594	15.441
503	3.235	1.446	15.728
504	3.235	1.446	15.728
505	3.274	1.431	15.762
506	3.274	1.431	15.762
507	3.274	1.431	15.762
508	3.604	1.503	15.714
509	3.604	1.503	15.714
510	3.882	1.388	15.948
511	3.882	1.388	15.948
512	3.882	1.388	15.948
513	3.882	1.206	15.594
514	3.882	1.206	15.594
515	3.743	1.106	15.024
516	3.743	1.106	15.024
517	3.743	1.106	15.024
518	3.786	1.154	14.115
519	3.786	1.154	14.115
520	4.107	1.335	13.564
521	4.107	1.335	13.564
522	4.107	1.335	13.564
523	4.284	1.273	12.922
524	4.284	1.273	12.922
525	4.605	1.498	11.945
526	4.605	1.498	11.945
527	4.605	1.498	11.945
528	5.079	1.556	11.222
