Point	x	y	z
214	-9.985	10.232	6.204
215	-12.336	11.271	5.673
216	-12.336	11.271	5.673
217	-13.566	12.124	6.405
218	-13.964	12.895	8.005
219	-13.964	12.895	8.005
220	-13.964	12.895	8.005
221	-14.088	13.867	9.47
222	-14.088	13.867	9.47
223	-13.7	14.69	10.475
224	-13.7	14.69	10.475
225	-13.7	14.69	10.475
226	-13.221	15.351	10.954
227	-13.221	15.351	10.954
228	-12.431	16.347	11.155
229	-12.431	16.347	11.155
230	-12.431	16.347	11.155
231	-11.708	17.281	10.806
232	-11.708	17.281	10.806
233	-11.526	17.951	9.8
234	-11.526	17.951	9.8
235	-11.526	17.951	9.8
236	-11.598	18.033	8.632
237	-11.598	18.033	8.632
238	-12.063	17.377	7.842
239	-12.063	17.377	7.842
240	-12.063	17.377	7.842
241	-11.019	16.596	7.66
242	-11.019	16.596	7.66
243	-8.84	15.868	8.172
244	-8.84	15.868	8.172
245	-8.84	15.868	8.172
246	-6.216	15.174	8.321
247	-6.216	15.174	8.321
248	-3.922	14.8	7.521
249	-3.922	14.8	7.521
250	-3.922	14.8	7.521
251	-1.964	14.25	6.793
252	-1.964	14.25	6.793
253	-0.987	13.091	6.994
254	-0.987	13.091	6.994
255	0.156	12.033	7.128
256	0.156	12.033	7.128
257	1.827	11.698	6.53
258	1.827	11.698	6.53
259	1.827	11.698	6.53
260	2.349	11.324	5.16
261	2.349	11.324	5.16
262	1.756	10.85	3.187
263	1.756	10.85	3.187
264	1.756	10.85	3.187
265	0.884	10.141	1.406
266	0.884	10.141	1.406
267	1.507	9.782	1.406
268	1.507	9.782	1.406
269	1.507	9.782	1.406
270	2.967	9.734	1.593
271	2.967	9.734	1.593
272	4.078	9.83	2.22
273	4.078	9.83	2.22
274	4.078	9.83	2.22
275	4.303	9.682	2.134
276	4.303	9.682	2.134
277	4.097	9.404	0.966
278	4.097	9.404	0.966
279	4.097	9.404	0.966
280	4.461	9.452	0.53
281	4.461	9.452	0.53
282	5.524	9.634	0.769
283	5.524	9.634	0.769
284	5.524	9.634	0.769
285	6.563	9.83	1.09
286	6.563	9.83	1.09
287	6.707	9.576	1.344
288	6.453	9.303	1.133
289	6.453	9.303	1.133
290	6.453	9.303	1.133
291	5.96	8.954	0.922
292	5.96	8.954	0.922
293	5.443	8.614	0.918
294	5.443	8.614	0.918
295	5.443	8.614	0.918
296	4.902	8.389	1.171
297	4.902	8.389	1.171
298	4.375	8.279	1.124
299	4.375	8.279	1.124
300	4.375	8.279	1.124
301	4.107	8.528	0.913
302	4.107	8.528	0.913
303	3.824	8.561	0.468
304	3.824	8.561	0.468
305	3.824	8.561	0.468
306	3.417	8.513	0.386
307	3.417	8.513	0.386
308	3.197	8.724	0.554
309	3.197	8.724	0.554
310	3.197	8.724	0.554
311	2.847	8.801	0.731
312	2.847	8.801	0.731
313	2.091	8.571	1.071
314	2.091	8.571	1.071
315	2.091	8.571	1.071
316	1.397	8.461	1.229
317	1.397	8.461	1.229
318	1.066	8.504	1.258
319	1.066	8.504	1.258
320	1.066	8.504	1.258
321	0.755	8.451	1.55
322	0.755	8.451	1.55
323	0.386	8.437	1.957
324	0.386	8.437	1.957
325	0.099	8.384	2.019
326	0.099	8.384	2.019
327	-0.092	8.513	1.88
328	-0.092	8.513	1.88
329	-0.092	8.513	1.88
330	-0.259	8.623	1.741
331	-0.259	8.623	1.741
332	-0.389	8.614	1.526
333	-0.389	8.614	1.526
334	-0.389	8.614	1.526
335	-0.298	8.7	1.43
336	-0.298	8.7	1.43
337	0.223	9.126	1.205
338	0.223	9.126	1.205
339	0.223	9.126	1.205
340	0.468	9.418	1.128
341	0.468	9.418	1.128
342	0.568	9.471	1.028
343	0.568	9.471	1.028
344	0.568	9.471	1.028
345	0.568	9.648	0.908
346	0.568	9.648	0.908
347	0.506	9.725	0.726
348	0.506	9.725	0.726
349	0.506	9.725	0.726
350	0.41	9.667	0.76
351	0.41	9.667	0.76
352	0.228	9.557	1.205
353	0.228	9.557	1.205
354	0.228	9.557	1.205
355	-0.029	9.409	1.511
356	-0.029	9.409	1.511
357	-0.245	9.289	1.765
358	-0.245	9.289	1.765
359	-0.245	9.289	1.765
360	-0.542	9.323	1.765
361	-0.858	9.313	1.598
362	-0.858	9.313	1.598
363	-0.901	9.361	1.555
364	-0.901	9.361	1.555
365	-0.901	9.361	1.555
366	-0.8	9.548	1.492
367	-0.8	9.548	1.492
368	-0.681	9.686	1.655
369	-0.681	9.686	1.655
370	-0.681	9.686	1.655
371	-0.571	9.519	2.244
372	-0.571	9.519	2.244
373	-0.408	9.605	2.383
374	-0.408	9.605	2.383
375	-0.408	9.605	2.383
376	-0.331	9.835	2.211
377	-0.331	9.835	2.211
378	-0.173	10.204	1.741
379	-0.173	10.204	1.741
380	-0.173	10.204	1.741
381	-0.197	10.247	1.775
382	-0.197	10.247	1.775
383	-0.412	10.012	1.952
384	-0.412	10.012	1.952
385	-0.412	10.012	1.952
386	-0.456	9.955	2.129
387	-0.456	9.955	2.129
388	-0.393	9.878	2.258
389	-0.393	9.878	2.258
390	-0.393	9.878	2.258
391	-0.432	9.864	2.474
392	-0.432	9.864	2.474
393	-0.547	9.686	2.689
394	-0.547	9.686	2.689
395	-0.69	9.514	2.646
396	-0.69	9.514	2.646
397	-0.772	9.461	2.656
398	-0.772	9.461	2.656
399	-0.772	9.461	2.656
400	-0.772	9.457	2.249
401	-0.772	9.457	2.249
402	-0.681	9.533	1.818
403	-0.681	9.533	1.818
404	-0.681	9.533	1.818
405	-0.705	9.5	1.693
406	-0.705	9.5	1.693
407	-0.494	9.581	1.641
408	-0.494	9.581	1.641
409	-0.494	9.581	1.641
410	-0.245	9.706	1.578
411	-0.245	9.706	1.578
412	-0.005	9.806	1.502
413	-0.005	9.806	1.502
414	-0.005	9.806	1.502
415	0.19	9.806	1.698
416	0.19	9.806	1.698
417	0.19	9.744	1.66
418	0.19	9.744	1.66
419	0.19	9.744	1.66
420	0.07	9.691	1.641
421	0.07	9.691	1.641
422	0.003	9.548	1.612
423	0.003	9.548	1.612
424	0.003	9.548	1.612
425	0.041	9.552	1.741
426	0.041	9.552	1.741
427	0.108	9.524	1.866
428	0.108	9.524	1.866
429	0.108	9.524	1.866
430	0.204	9.548	1.966
431	0.252	9.624	2.053
432	0.252	9.624	2.053
433	0.621	9.907	1.722
434	0.621	9.907	1.722
435	0.621	9.907	1.722
436	1.44	10.481	1.229
437	1.44	10.481	1.229
