Point	x	y	z
223	-4.368	-0.402	5.591
224	-4.368	-0.402	5.591
225	-4.061	-0.512	6.75
226	-4.061	-0.512	6.75
227	-4.061	-0.512	6.75
228	-4.339	-0.699	8.057
229	-4.339	-0.699	8.057
230	-4.684	-0.708	6.357
231	-4.684	-0.708	6.357
232	-4.684	-0.708	6.357
233	-4.502	-0.809	3.896
234	-4.502	-0.809	3.896
235	-5.062	-0.847	3.005
236	-5.062	-0.847	3.005
237	-5.062	-0.847	3.005
238	-5.809	-0.957	3.312
239	-5.809	-0.957	3.312
240	-6.321	-1.11	4.696
241	-6.321	-1.11	4.696
242	-6.321	-1.11	4.696
243	-6.532	-1.489	6.295
244	-6.532	-1.489	6.295
245	-6.934	-1.795	8.67
246	-6.934	-1.795	8.67
247	-6.934	-1.795	8.67
248	-7.835	-2.437	10.901
249	-7.835	-2.437	10.901
250	-8.428	-2.734	12.884
251	-8.428	-2.734	12.884
252	-8.428	-2.734	12.884
253	-9.08	-2.695	12.649
254	-9.08	-2.695	12.649
255	-8.921	-2.504	10.533
256	-8.921	-2.504	10.533
257	-8.749	-2.221	9.513
258	-8.749	-2.221	9.513
259	-8.969	-2.178	9.609
260	-8.969	-2.178	9.609
261	-8.969	-2.178	9.609
262	-8.586	-2.389	9.671
263	-8.586	-2.389	9.671
264	-7.935	-2.7	11.749
265	-7.935	-2.7	11.749
266	-7.935	-2.7	11.749
267	-7.916	-3.069	13.741
268	-7.916	-3.069	13.741
269	-8.242	-4.338	15.728
270	-8.242	-4.338	15.728
271	-8.242	-4.338	15.728
272	-8.342	-5.544	16.47
273	-8.342	-5.544	16.47
274	-7.657	-5.999	16.997
275	-7.657	-5.999	16.997
276	-7.657	-5.999	16.997
277	-7.36	-6.502	16.461
278	-7.36	-6.502	16.461
279	-7.451	-7.302	15.398
280	-7.451	-7.302	15.398
281	-7.451	-7.302	15.398
282	-7.241	-8.336	13.492
283	-7.241	-8.336	13.492
284	-5.895	-8.595	13.085
285	-5.895	-8.595	13.085
286	-5.895	-8.595	13.085
287	-3.875	-8.082	14.225
288	-3.875	-8.082	14.225
289	-1.906	-7.541	16.068
290	-1.906	-7.541	16.068
291	-1.906	-7.541	16.068
292	-1.408	-7.445	17.495
293	-1.408	-7.445	17.495
294	-2.677	-8.049	17.351
295	-3.937	-8.772	16.255
296	-3.937	-8.772	16.255
297	-3.937	-8.772	16.255
298	-4.095	-9.528	14.335
299	-4.095	-9.528	14.335
300	-3.118	-9.572	13.19
301	-3.118	-9.572	13.19
302	-3.118	-9.572	13.19
303	-0.614	-8.901	15.431
304	-0.614	-8.901	15.431
305	1.847	-7.872	17.663
306	1.847	-7.872	17.663
307	1.847	-7.872	17.663
308	3.221	-6.818	17.768
309	3.221	-6.818	17.768
310	3.269	-6.268	16.662
311	3.269	-6.268	16.662
312	3.269	-6.268	16.662
313	2.373	-5.549	14.579
