# Accelerometer Data File
# Started @Mon Mar 27 17:02:58 MESZ 2017
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.009810001m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.039 3.687 10.355 0
-0.117 3.569 10.355 10
-0.156 3.412 10.238 10
-0.039 3.216 10.159 10
-0.039 3.177 10.042 10
0.0 3.216 10.159 10
-0.039 3.098 10.042 10
0.196 3.138 10.081 10
0.47 3.334 10.159 10
0.392 3.53 10.081 10
0.196 3.373 10.002 10
0.039 3.334 9.963 10
0.196 3.255 9.728 10
0.235 3.373 9.924 10
0.431 3.491 9.806 10
0.117 3.216 9.649 10
0.117 3.02 9.414 10
0.156 3.255 9.453 10
0.313 3.451 9.532 10
0.509 3.53 9.688 10
0.549 3.412 9.688 10
0.431 3.177 9.61 10
0.313 3.059 9.532 9
0.196 2.667 9.453 11
0.0 3.569 9.375 10
-0.156 3.412 9.532 10
-0.078 3.177 9.571 10
0.039 3.412 9.571 10
0.156 3.687 9.453 10
0.235 3.961 9.453 10
0.353 4.04 9.532 10
0.353 4.079 9.688 10
0.274 4.04 9.806 10
0.353 3.961 9.924 10
0.392 3.765 9.924 10
0.47 3.608 9.806 10
0.509 3.451 9.688 10
0.431 3.295 9.649 10
0.509 3.295 9.571 10
0.509 3.177 9.492 10
0.588 3.138 9.532 10
0.431 3.02 9.61 10
0.392 3.098 9.649 9
0.431 3.098 9.728 11
0.431 3.216 9.806 10
0.47 3.295 9.845 10
0.353 3.412 9.767 10
0.313 3.412 9.806 10
0.274 3.295 9.806 10
0.117 3.098 9.845 10
-0.117 2.824 9.963 10
-0.156 2.824 10.12 10
-0.196 2.981 10.198 10
-0.156 2.981 10.316 10
-0.117 3.098 10.512 10
-0.235 3.138 10.355 10
-0.156 3.059 10.355 10
-0.156 3.02 10.12 10
-0.078 3.02 9.924 10
0.117 3.138 9.845 10
0.156 3.295 9.649 10
0.235 3.295 9.571 10
0.156 3.451 9.532 9
0.039 3.53 9.532 11
0.078 3.491 9.453 10
0.156 3.569 9.61 10
0.078 3.491 9.806 10
-0.117 3.412 9.845 9
0.0 3.295 9.924 11
0.039 3.216 10.159 10
0.156 3.334 10.12 9
0.156 3.295 10.12 11
0.0 3.334 9.924 10
0.0 3.177 9.963 10
0.0 3.177 9.728 9
-0.078 3.02 10.002 11
0.078 3.138 10.002 10
0.078 3.334 10.002 9
0.039 3.373 10.12 11
0.0 3.216 9.845 10
0.078 3.255 9.845 9
0.156 3.373 9.728 11
0.431 3.569 9.845 10
0.313 3.608 9.963 10
0.235 3.608 10.002 10
0.156 3.648 9.963 10
0.039 3.608 9.845 10
0.117 3.648 9.767 10
0.274 3.804 9.845 9
0.196 3.883 10.002 10
0.117 4.001 10.238 11
0.117 4.04 10.355 10
0.117 4.118 10.473 9
0.196 4.197 10.708 11
0.274 4.275 10.787 10
0.156 4.079 10.551 9
0.117 3.687 10.944 11
-0.039 3.412 11.101 9
0.0 3.177 11.022 11
-0.039 3.059 11.14 9
-0.078 2.785 11.336 11
-0.274 2.549 11.532 9
-0.47 2.432 11.493 11
-0.666 2.235 11.532 10
-0.745 2.079 11.493 10
-0.706 2.079 11.493 9
-0.627 2.039 11.297 11
-0.549 2.079 11.061 10
-0.509 2.118 10.787 10
-0.509 2.079 10.551 10
-0.47 2.196 10.434 9
-0.588 2.235 10.512 11
-1.059 2.0 10.434 9
-1.216 1.804 10.434 11
-1.451 1.843 10.473 9
-1.255 1.922 10.748 11
-1.333 1.765 10.787 10
-1.412 1.608 10.669 9
-1.412 1.49 10.473 11
-1.294 1.333 10.551 10
-1.137 1.372 10.434 10
-1.137 1.372 10.198 10
-1.176 1.333 10.081 9
-1.176 1.294 9.963 10
-0.784 1.49 9.924 10
-0.509 1.686 9.924 11
-0.549 1.804 10.042 10
-0.862 1.608 9.924 9
-1.176 1.608 9.845 11
-1.137 1.725 9.728 10
-0.98 1.843 9.532 9
-0.706 2.118 9.218 11
-0.784 2.0 9.061 9
-0.666 1.961 8.943 11
-0.666 2.118 8.669 9
-0.47 2.432 8.59 11
-0.274 2.51 8.629 10
-0.274 2.706 8.512 10
-0.235 2.863 8.708 10
-0.117 3.098 8.786 10
-0.196 3.216 8.904 10
-0.392 3.098 9.022 10
-0.431 2.981 9.022 10
-0.353 2.902 9.218 10
-0.313 2.981 9.571 10
-0.313 2.981 9.728 10
-0.274 2.863 9.885 10
-0.274 2.628 10.002 10
-0.353 2.588 10.159 10
-0.431 2.628 10.002 10
-0.431 2.706 9.767 10
-0.392 2.745 9.532 10
-0.196 2.981 9.492 10
-0.117 3.098 9.296 10
0.078 3.216 9.414 10
0.156 3.295 9.453 10
0.117 3.412 9.571 10
0.117 3.373 9.845 10
0.156 3.334 10.002 10
0.156 3.334 10.12 10
-0.039 3.255 10.198 10
-0.353 3.059 10.198 10
-0.431 2.863 10.198 10
-0.313 2.902 10.042 10
-0.039 3.02 9.845 10
0.117 3.138 9.649 10
0.156 3.334 9.649 10
0.274 3.569 9.688 9
0.353 4.001 9.806 11
0.431 4.118 10.002 10
0.274 4.118 10.002 10
0.392 4.275 10.238 10
0.431 4.118 10.081 10
0.47 4.118 10.355 10
0.47 3.961 10.355 10
0.549 4.079 10.395 10
0.627 3.804 10.316 10
0.627 3.883 10.826 10
0.588 4.001 10.826 10
0.588 4.118 10.826 10
0.47 3.922 11.179 10
0.549 4.197 11.258 10
0.392 4.197 11.336 10
0.117 3.922 11.885 10
0.117 3.569 11.846 9
-0.078 3.177 12.277 11
-0.156 2.902 12.709 10
-0.235 2.706 12.709 10
-0.431 2.51 12.748 10
-0.549 2.353 12.63 10
-0.706 2.157 12.356 10
-0.588 2.0 11.964 10
-0.392 1.961 11.65 10
-0.274 1.922 11.022 10
-0.117 1.804 10.63 10
0.078 1.686 10.198 10
0.235 1.804 9.649 10
0.47 1.804 9.218 10
0.549 1.765 8.865 10
0.902 1.922 8.59 10
1.137 1.922 8.316 10
1.294 1.882 8.198 10
1.255 1.686 8.198 10
1.098 1.647 8.237 10
1.294 1.725 8.551 10
1.059 1.686 8.865 10
0.862 1.451 9.022 10
0.47 1.294 9.414 10
0.431 1.333 10.081 10
0.431 1.451 10.591 9
0.313 1.372 11.101 11
-0.039 1.255 11.532 10
-0.274 1.216 11.689 10
-0.509 1.176 11.493 10
-0.47 1.176 10.983 10
-0.313 1.059 10.512 10
-0.078 1.137 9.845 10
0.0 1.255 9.257 10
0.078 1.412 8.865 10
0.156 1.529 8.512 10
0.274 1.529 8.276 10
0.313 1.725 8.159 10
0.353 1.882 8.237 10
0.235 2.157 8.433 10
0.156 2.353 8.472 10
0.235 2.549 8.59 10
0.156 2.706 8.59 10
0.039 2.863 8.747 10
0.0 2.863 8.786 10
0.0 2.785 8.825 10
0.0 2.863 9.061 10
-0.078 2.902 9.257 10
-0.196 2.981 9.571 10
-0.392 3.02 9.924 10
-0.431 3.059 10.159 10
-0.47 3.138 10.238 10
-0.431 3.255 10.434 10
-0.47 3.334 10.591 10
-0.392 3.491 10.63 10
-0.274 3.412 10.669 10
-0.117 3.412 10.708 10
-0.156 3.412 10.708 10
-0.235 3.412 10.748 9
-0.117 3.412 10.63 11
0.0 3.569 10.512 10
0.156 3.844 10.395 10
0.392 4.079 10.316 9
0.431 4.236 10.198 10
0.431 4.079 10.238 11
0.431 4.001 10.355 10
0.549 3.922 10.355 9
0.745 3.804 10.669 11
0.706 3.765 10.865 9
0.666 3.726 11.14 11
0.706 3.569 11.297 9
0.588 3.451 11.414 11
0.431 3.491 11.454 10
0.353 3.491 11.454 10
0.274 3.608 11.493 10
0.196 3.726 11.571 10
0.156 3.687 11.532 10
0.196 3.726 11.532 10
0.039 3.451 11.689 10
-0.039 3.255 11.767 10
-0.196 3.02 11.964 9
-0.313 2.588 12.081 11
-0.509 2.314 12.199 10
-0.666 1.961 12.238 9
-0.666 1.725 12.199 11
-0.706 1.451 12.081 10
-0.862 1.333 11.767 9
-0.902 1.137 11.414 11
-1.019 1.019 11.061 9
-0.941 0.902 10.669 11
-1.059 0.902 10.434 9
-1.216 0.941 10.12 11
-1.176 1.059 9.963 10
-1.176 1.333 9.571 9
-1.216 1.333 9.532 11
-1.019 1.412 9.414 10
-1.019 1.529 9.414 10
-1.019 1.569 9.728 10
-1.019 1.686 9.688 10
-0.862 1.686 10.042 10
-0.98 1.49 10.238 10
-0.902 1.294 10.787 9
-1.059 0.862 11.571 11
-1.019 0.627 11.689 10
-1.098 0.47 11.728 10
-1.333 0.117 11.924 10
-1.451 -0.078 11.728 10
-1.294 -0.039 11.336 10
-0.784 0.039 11.101 10
-0.706 0.156 10.551 10
-0.666 0.353 9.767 10
-0.509 0.509 9.257 10
-0.392 0.706 8.747 10
-0.353 1.137 8.394 10
-0.117 1.569 8.237 10
0.078 1.804 8.119 10
0.117 1.922 8.002 10
0.039 2.0 8.198 10
-0.156 2.039 8.316 10
-0.156 2.0 8.433 10
-0.117 2.039 8.59 9
-0.078 1.882 8.708 11
-0.235 2.039 9.022 10
-0.078 2.235 9.257 10
-0.156 2.432 9.453 10
-0.117 2.392 9.767 10
-0.235 2.314 10.002 10
-0.392 2.353 10.238 10
-0.353 2.353 10.434 10
-0.431 2.275 10.473 10
-0.47 2.353 10.434 10
-0.47 2.235 10.316 10
-0.274 2.196 10.238 10
-0.078 2.235 9.963 10
0.039 2.314 9.924 10
0.039 2.471 9.767 10
0.117 2.588 9.688 10
0.078 2.706 9.688 10
0.117 2.785 9.767 10
-0.078 2.706 9.806 10
0.0 2.706 9.806 10
0.039 2.549 9.963 10
0.196 2.51 9.924 10
0.235 2.667 10.002 10
0.431 2.667 10.198 10
0.274 2.51 10.512 10
0.117 2.549 10.787 10
0.078 2.549 10.787 10
0.039 2.471 10.865 10
0.0 2.51 10.904 10
0.0 2.432 10.669 10
0.078 2.51 10.316 10
0.156 2.588 10.081 10
0.156 2.745 9.845 10
0.156 2.824 9.61 10
0.274 2.981 9.375 10
0.274 2.981 9.453 10
0.156 3.02 9.767 10
-0.196 2.941 10.042 10
-0.274 3.059 10.081 10
-0.431 2.981 10.159 10
-0.627 2.824 10.198 10
-0.627 2.981 10.12 9
-0.509 2.941 10.159 11
-0.353 2.981 10.081 10
-0.039 3.177 9.924 10
0.039 3.216 9.767 10
0.156 3.098 9.728 10
0.431 2.902 9.688 9
0.627 2.785 9.806 11
0.47 2.432 10.198 10
0.313 2.353 10.551 10
0.117 2.196 10.826 10
-0.039 2.079 11.101 10
-0.431 2.079 11.532 10
-0.862 2.079 11.611 10
-1.176 2.196 11.611 9
-1.294 2.196 11.454 11
-1.137 2.314 11.336 10
-0.823 2.51 10.904 10
-0.549 2.51 10.395 10
-0.392 2.51 10.002 10
-0.196 2.549 9.492 10
0.196 2.471 9.1 10
0.549 2.471 8.943 10
0.941 2.471 8.825 10
1.019 2.628 8.943 10
0.823 2.667 9.179 10
0.588 2.549 9.492 10
0.353 2.432 9.806 10
0.196 2.392 9.885 9
0.117 2.392 10.198 11
0.274 2.353 10.277 10
0.274 2.353 10.316 10
0.274 2.432 10.434 10
0.313 2.432 10.551 10
0.274 2.432 10.748 10
0.274 2.235 10.787 10
0.353 2.079 11.14 10
0.431 2.118 10.944 10
0.431 2.275 11.179 10
0.392 2.196 11.022 10
0.235 2.196 11.022 10
0.196 2.0 10.591 10
0.274 2.118 10.434 10
0.353 2.353 10.63 10
0.431 2.549 10.081 9
0.588 2.628 10.277 11
0.509 2.588 10.473 10
0.47 2.588 10.277 10
0.392 2.588 10.238 10
0.392 2.392 10.277 10
0.313 2.353 10.159 10
0.196 2.196 10.042 10
0.353 2.353 10.042 10
0.392 2.471 9.845 10
0.313 2.628 9.806 10
0.274 2.785 9.61 10
0.353 2.745 9.492 10
0.353 2.745 9.375 10
0.353 2.824 9.375 10
0.588 2.824 9.453 10
0.745 2.863 9.453 10
0.784 2.628 9.414 10
0.784 2.51 9.728 10
1.019 2.628 9.885 10
1.176 2.549 10.002 10
1.216 2.314 10.198 10
1.098 2.039 10.277 10
1.216 2.079 10.277 10
1.294 2.196 10.434 10
1.216 2.118 10.473 10
1.216 2.196 10.434 10
1.098 2.157 10.316 10
1.019 2.235 10.316 10
1.019 2.196 10.238 10
1.019 2.314 10.198 10
1.019 2.314 10.238 10
0.98 2.471 10.277 9
0.902 2.628 10.355 11
0.666 2.706 10.355 10
0.509 2.51 10.316 10
0.627 2.471 10.238 10
0.588 2.471 10.12 10
0.588 2.628 10.081 10
0.588 2.588 9.845 10
0.666 2.706 9.806 10
0.666 2.785 9.61 10
0.706 2.745 9.728 10
