# Accelerometer Data File
# Started @Thu Mar 30 19:10:07 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.736 6.521 6.855 0
0.736 6.521 6.855 5
0.736 6.521 6.855 2
0.87 6.67 6.625 2
0.87 6.67 6.625 5
0.937 6.459 6.487 6
0.937 6.459 6.487 5
0.937 6.459 6.487 2
0.827 6.387 6.218 2
0.827 6.387 6.218 5
0.477 6.517 6.477 5
0.477 6.517 6.477 5
0.477 6.517 6.477 3
0.08 6.847 6.721 2
0.08 6.847 6.721 5
0.219 6.842 6.314 5
0.219 6.842 6.314 5
0.219 6.842 6.314 3
0.506 6.809 5.998 2
0.506 6.809 5.998 5
0.884 6.885 6.18 5
0.884 6.885 6.18 5
0.884 6.885 6.18 3
0.741 6.368 6.472 2
0.175 5.54 7.028 5
0.175 5.54 7.028 5
-0.173 5.219 7.765 5
-0.173 5.219 7.765 3
-0.173 5.219 7.765 2
-0.039 5.267 8.881 5
-0.039 5.267 8.881 5
1.736 3.361 6.76 5
1.736 3.361 6.76 3
1.736 3.361 6.76 2
1.578 3.519 7.071 5
1.578 3.519 7.071 5
2.22 4.098 6.836 5
2.22 4.098 6.836 3
2.22 4.098 6.836 2
3.805 7.244 8.028 5
3.805 7.244 8.028 5
4.121 8.599 9.379 5
4.121 8.599 9.379 3
4.121 8.599 9.379 2
3.633 9.05 10.217 5
3.633 9.05 10.217 5
2.8 8.025 10.456 5
2.8 8.025 10.456 4
2.8 8.025 10.456 1
1.77 6.55 10.111 5
1.77 6.55 10.111 5
0.994 5.679 10.064 5
0.994 5.679 10.064 3
0.994 5.679 10.064 2
0.712 5.884 9.36 5
0.803 6.459 8.244 5
0.803 6.459 8.244 5
0.803 6.459 8.244 3
1.286 7.283 6.218 2
1.286 7.283 6.218 5
1.842 7.972 3.537 5
1.842 7.972 3.537 5
1.842 7.972 3.537 3
1.617 8.058 1.708 2
1.617 8.058 1.708 5
1.2 7.484 2.522 5
1.2 7.484 2.522 5
1.2 7.484 2.522 4
0.582 6.924 5.424 1
0.582 6.924 5.424 5
0.295 6.799 8.79 5
0.295 6.799 8.79 5
0.295 6.799 8.79 4
0.539 6.536 9.757 1
0.539 6.536 9.757 5
1.013 6.196 8.316 6
1.013 6.196 8.316 5
1.013 6.196 8.316 3
0.812 6.167 6.807 1
0.812 6.167 6.807 5
0.391 6.43 6.06 5
0.391 6.43 6.06 5
0.391 6.43 6.06 4
0.305 6.737 5.601 1
0.305 6.737 5.601 5
0.75 6.904 4.94 5
1.138 7.029 5.615 5
1.138 7.029 5.615 4
1.138 7.029 5.615 1
1.349 6.77 6.922 5
1.349 6.77 6.922 5
1.296 6.301 8.105 5
1.296 6.301 8.105 4
1.296 6.301 8.105 1
1.143 5.851 8.876 5
1.143 5.851 8.876 6
0.956 5.645 9.111 5
0.956 5.645 9.111 3
0.956 5.645 9.111 1
0.707 5.616 9.072 5
0.707 5.616 9.072 5
0.343 5.511 8.924 5
0.343 5.511 8.924 4
0.343 5.511 8.924 1
0.219 4.975 8.474 5
0.219 4.975 8.474 5
0.032 6.076 8.349 5
0.032 6.076 8.349 4
0.032 6.076 8.349 1
0.247 6.019 7.87 5
0.247 6.019 7.87 5
0.769 5.961 6.41 5
0.769 5.961 6.41 4
0.769 5.961 6.41 1
0.745 6.397 6.683 5
0.745 6.397 6.683 5
0.659 6.253 7.516 5
0.659 6.253 7.516 4
0.659 6.253 7.516 1
0.515 5.884 8.057 5
0.166 5.578 8.464 6
0.166 5.578 8.464 5
0.166 5.578 8.464 3
-0.058 5.339 8.479 1
-0.058 5.339 8.479 5
-0.025 5.386 8.306 5
-0.025 5.386 8.306 5
-0.025 5.386 8.306 4
0.535 5.516 7.995 1
0.535 5.516 7.995 5
0.966 5.659 7.602 6
0.966 5.659 7.602 5
0.966 5.659 7.602 3
0.937 5.904 7.401 1
0.937 5.904 7.401 5
0.688 6.076 7.281 5
0.688 6.076 7.281 5
0.688 6.076 7.281 4
0.587 6.21 6.937 1
0.587 6.21 6.937 5
0.697 6.358 6.463 6
0.697 6.358 6.463 5
0.697 6.358 6.463 3
0.836 6.473 7.181 1
0.836 6.473 7.181 5
0.922 6.263 8.024 6
0.922 6.263 8.024 5
0.922 6.263 8.024 3
1.119 5.942 8.158 1
1.119 5.942 8.158 5
1.109 5.832 8.052 5
1.104 5.904 8.143 5
1.104 5.904 8.143 4
1.104 5.904 8.143 1
0.889 5.904 8.182 5
0.889 5.904 8.182 6
1.43 6.617 7.602 5
1.43 6.617 7.602 3
1.43 6.617 7.602 1
1.593 6.775 7.032 5
1.593 6.775 7.032 6
1.626 6.488 6.86 5
1.626 6.488 6.86 3
1.626 6.488 6.86 1
1.497 6.488 7.004 5
1.497 6.488 7.004 6
1.243 6.588 7.641 5
1.243 6.588 7.641 3
1.243 6.588 7.641 1
1.109 6.421 8.378 5
1.109 6.421 8.378 6
1.066 5.975 8.517 5
1.066 5.975 8.517 3
1.066 5.975 8.517 2
0.827 5.631 8.493 5
0.827 5.631 8.493 5
0.827 5.731 8.038 5
0.827 5.731 8.038 3
0.827 5.731 8.038 2
1.09 5.951 7.32 5
1.09 5.951 7.32 5
1.277 6.291 6.951 5
1.277 6.291 6.951 3
1.205 6.277 7.119 2
1.205 6.277 7.119 5
0.97 6.009 7.507 5
0.97 6.009 7.507 5
0.97 6.009 7.507 3
0.808 5.918 7.885 2
0.808 5.918 7.885 5
0.717 5.837 8.115 5
0.717 5.837 8.115 5
0.717 5.837 8.115 3
0.741 5.913 8.249 2
0.741 5.913 8.249 5
0.922 6.076 8.297 5
0.922 6.076 8.297 5
0.922 6.076 8.297 3
0.942 6.2 8.373 2
0.942 6.2 8.373 5
0.98 6.019 8.34 5
0.98 6.019 8.34 5
0.98 6.019 8.34 4
0.884 5.861 8.656 1
0.884 5.861 8.656 5
0.903 5.784 8.651 5
0.903 5.784 8.651 5
0.903 5.784 8.651 3
1.028 5.942 8.172 2
1.028 5.942 8.172 5
0.942 6.191 7.463 5
