# Accelerometer Data File
# Started @Sun Mar 26 22:21:59 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.372 9.035 3.695 0
0.372 9.035 3.695 1
0.357 9.069 3.709 5
0.357 9.069 3.709 5
0.372 9.078 3.657 5
0.372 9.078 3.657 4
0.372 9.078 3.657 1
0.362 9.011 3.728 5
0.362 9.011 3.728 5
0.319 9.026 3.69 5
0.319 9.026 3.69 4
0.319 9.026 3.69 1
0.238 9.05 3.599 5
0.238 9.05 3.599 5
0.142 9.035 3.542 5
0.142 9.035 3.542 3
0.142 9.035 3.542 2
0.061 8.968 3.561 5
-0.044 8.987 3.681 5
-0.044 8.987 3.681 5
-0.044 8.987 3.681 4
-0.073 8.939 3.709 1
-0.073 8.939 3.709 5
-0.159 8.959 3.714 5
-0.159 8.959 3.714 5
-0.159 8.959 3.714 3
-0.116 8.925 3.637 2
-0.116 8.925 3.637 5
-0.116 8.954 3.681 5
-0.116 8.954 3.681 5
-0.116 8.954 3.681 4
-0.039 8.983 3.637 1
-0.039 8.983 3.637 5
-0.082 9.026 3.633 5
-0.082 9.026 3.633 5
-0.082 9.026 3.633 4
-0.13 9.064 3.642 1
-0.13 9.064 3.642 5
-0.226 9.04 3.623 5
-0.226 9.04 3.623 5
-0.226 9.04 3.623 4
-0.336 8.954 3.652 1
-0.336 8.954 3.652 5
-0.408 8.892 3.719 5
-0.408 8.892 3.719 5
-0.408 8.892 3.719 4
-0.542 8.853 3.829 1
-0.542 8.853 3.829 5
-0.48 8.829 3.925 5
-0.317 8.863 4.021 5
-0.317 8.863 4.021 4
-0.317 8.863 4.021 1
-0.216 8.935 4.011 5
-0.216 8.935 4.011 5
-0.231 8.959 4.073 5
-0.231 8.959 4.073 4
-0.231 8.959 4.073 1
-0.221 8.92 4.001 5
-0.221 8.92 4.001 5
-0.245 8.92 3.954 5
-0.245 8.92 3.954 4
-0.245 8.92 3.954 1
-0.336 8.906 3.824 5
-0.336 8.906 3.824 5
-0.379 8.863 3.757 5
-0.379 8.863 3.757 4
-0.326 8.839 3.69 6
-0.326 8.839 3.69 5
-0.202 8.906 3.7 5
-0.202 8.906 3.7 4
-0.202 8.906 3.7 1
-0.096 8.901 3.834 5
-0.096 8.901 3.834 5
0.132 8.959 3.939 5
0.132 8.959 3.939 4
0.132 8.959 3.939 1
0.286 9.088 3.91 5
0.286 9.088 3.91 5
0.314 9.069 3.843 5
0.314 9.069 3.843 4
0.314 9.069 3.843 1
0.214 9.107 3.714 5
0.056 9.083 3.551 5
0.056 9.083 3.551 5
0.056 9.083 3.551 4
-0.001 9.011 3.542 1
-0.001 9.011 3.542 5
-0.029 8.968 3.489 5
-0.029 8.968 3.489 5
-0.029 8.968 3.489 4
-0.092 8.901 3.657 1
-0.092 8.901 3.657 5
-0.106 8.829 3.647 5
-0.106 8.829 3.647 5
-0.106 8.829 3.647 4
-0.063 8.753 3.872 1
-0.063 8.753 3.872 5
0.041 8.695 3.958 5
0.041 8.695 3.958 5
0.041 8.695 3.958 4
0.128 8.815 4.021 1
0.128 8.815 4.021 5
0.3 8.858 3.992 5
0.3 8.858 3.992 5
0.3 8.858 3.992 4
0.477 8.978 4.04 1
0.477 8.978 4.04 5
0.659 9.088 4.001 5
0.659 9.088 4.001 5
0.659 9.088 4.001 5
0.726 9.184 3.839 5
0.654 9.236 3.762 5
0.535 9.188 3.652 5
0.535 9.188 3.652 4
0.535 9.188 3.652 1
0.372 9.169 3.599 5
0.372 9.169 3.599 5
0.31 9.121 3.561 5
0.31 9.121 3.561 4
0.31 9.121 3.561 1
0.257 9.102 3.724 5
0.257 9.102 3.724 5
0.367 9.088 3.772 5
0.367 9.088 3.772 4
0.367 9.088 3.772 1
0.439 9.069 3.815 5
0.439 9.069 3.815 5
0.372 9.021 3.853 5
0.372 9.021 3.853 4
0.372 9.021 3.853 1
0.487 8.992 3.977 5
0.487 8.992 3.977 5
0.501 8.853 4.102 5
0.501 8.853 4.102 4
0.501 8.853 4.102 1
0.554 8.887 4.116 5
0.554 8.887 4.116 5
0.568 8.911 4.006 5
0.568 8.911 4.006 4
0.568 8.911 4.006 2
0.482 8.853 4.064 4
0.482 8.853 4.064 5
0.262 8.805 3.973 5
0.262 8.805 3.973 4
0.262 8.805 3.973 1
0.084 8.724 3.968 5
0.104 8.724 3.963 5
0.104 8.724 3.963 5
0.104 8.724 3.963 4
0.156 8.772 3.863 1
0.156 8.772 3.863 5
0.166 8.724 3.863 5
0.166 8.724 3.863 5
0.166 8.724 3.863 5
0.262 8.738 3.93 1
0.262 8.738 3.93 4
0.295 8.82 3.901 5
0.295 8.82 3.901 5
0.295 8.82 3.901 4
0.281 8.839 3.901 2
0.281 8.839 3.901 5
0.276 8.81 3.901 5
0.276 8.81 3.901 5
0.276 8.81 3.901 3
0.228 8.848 3.834 2
0.228 8.848 3.834 5
0.195 8.93 3.719 5
0.195 8.93 3.719 5
0.195 8.93 3.719 3
0.175 8.949 3.738 2
0.175 8.949 3.738 5
0.204 9.021 3.671 5
0.204 9.021 3.671 5
0.204 9.021 3.671 3
0.238 9.088 3.657 2
0.238 9.088 3.657 5
0.257 9.112 3.542 5
0.195 9.088 3.537 5
0.195 9.088 3.537 3
0.195 9.088 3.537 2
0.271 9.083 3.547 5
0.271 9.083 3.547 5
0.41 9.236 3.494 5
0.41 9.236 3.494 4
0.41 9.236 3.494 1
0.482 9.198 3.628 5
0.482 9.198 3.628 5
0.477 9.184 3.652 5
0.477 9.184 3.652 3
0.477 9.184 3.652 2
0.453 9.165 3.805 5
0.453 9.165 3.805 5
0.424 9.078 3.882 5
0.424 9.078 3.882 3
0.424 9.078 3.882 2
0.333 8.959 3.977 5
0.333 8.959 3.977 5
0.353 8.973 3.92 5
0.353 8.973 3.92 4
0.314 8.954 3.939 6
0.314 8.954 3.939 5
0.31 8.944 3.93 5
0.31 8.944 3.93 3
0.31 8.944 3.93 2
0.214 8.863 4.04 5
0.214 8.863 4.04 5
0.238 8.892 4.011 5
0.238 8.892 4.011 4
0.238 8.892 4.011 1
0.286 8.887 4.049 5
0.31 9.016 3.973 5
0.31 9.016 3.973 5
0.31 9.016 3.973 4
0.42 9.03 4.025 1
0.42 9.03 4.025 5
0.41 9.083 4.011 5
0.41 9.083 4.011 5
0.41 9.083 4.011 3
0.377 9.059 4.102 2
0.377 9.059 4.102 5
0.506 9.078 4.045 5
0.506 9.078 4.045 5
0.506 9.078 4.045 3
0.515 9.069 4.112 2
0.515 9.069 4.112 5
0.515 9.093 4.107 5
0.515 9.093 4.107 5
0.515 9.093 4.107 4
0.429 9.059 4.025 3
0.429 9.059 4.025 3
0.305 9.03 4.045 5
0.305 9.03 4.045 5
0.305 9.03 4.045 3
0.252 9.002 4.006 2
0.252 9.002 4.006 5
0.262 9.026 4.001 5
0.262 9.026 4.001 5
0.262 9.026 4.001 3
0.329 9.069 3.973 2
0.329 9.069 3.973 5
0.415 9.054 4.179 5
0.515 9.04 4.294 5
0.515 9.04 4.294 4
0.712 9.064 4.337 6
0.712 9.064 4.337 5
0.621 9.217 4.169 5
0.621 9.217 4.169 3
0.621 9.217 4.169 2
0.573 9.217 4.116 5
0.573 9.217 4.116 5
0.587 9.313 3.886 5
0.587 9.313 3.886 4
0.587 9.313 3.886 1
0.539 9.346 4.059 5
0.539 9.346 4.059 5
0.592 9.37 4.049 5
0.592 9.37 4.049 4
0.592 9.37 4.049 1
0.549 9.366 4.049 5
0.549 9.366 4.049 5
0.573 9.409 4.049 5
0.573 9.409 4.049 3
0.573 9.409 4.049 2
0.654 9.543 3.93 5
0.654 9.543 3.93 5
0.626 9.567 3.896 5
0.626 9.567 3.896 3
0.626 9.567 3.896 2
0.707 9.576 3.848 5
0.707 9.576 3.848 5
0.401 9.667 3.719 5
0.401 9.667 3.719 4
0.472 9.691 3.728 1
0.472 9.691 3.728 5
0.434 9.658 3.839 5
0.434 9.658 3.839 5
0.434 9.658 3.839 3
0.31 9.619 3.872 2
0.31 9.619 3.872 5
0.166 9.639 3.757 5
0.166 9.639 3.757 5
0.166 9.639 3.757 3
-0.029 9.744 3.566 2
-0.029 9.744 3.566 5
-0.202 9.653 3.278 5
-0.202 9.653 3.278 5
-0.202 9.653 3.278 4
-0.398 9.706 3.336 6
-0.575 9.634 3.441 5
-0.575 9.634 3.441 5
-0.575 9.634 3.441 3
-0.829 9.447 3.848 2
-0.829 9.447 3.848 5
-1.188 9.155 4.279 5
-1.188 9.155 4.279 5
-1.188 9.155 4.279 4
-1.385 8.987 4.782 1
-1.385 8.987 4.782 5
-1.289 9.121 5.117 5
-1.289 9.121 5.117 5
-1.289 9.121 5.117 4
-1.255 9.323 4.921 1
-1.255 9.323 4.921 5
-1.495 9.27 4.6 5
-1.748 9.165 4.542 5
-1.748 9.165 4.542 4
-1.748 9.165 4.542 1
-2.021 9.203 3.93 5
-2.021 9.203 3.93 5
-2.438 9.246 3.494 5
-2.438 9.246 3.494 4
-2.438 9.246 3.494 1
-2.342 9.026 3.508 5
-2.342 9.026 3.508 5
-2.716 9.054 2.89 5
-2.716 9.054 2.89 4
-2.716 9.054 2.89 1
-2.51 9.184 3.451 5
-2.51 9.184 3.451 5
-3.151 8.681 4.222 5
-3.151 8.681 4.222 4
-3.151 8.681 4.222 1
-3.544 8.681 4.217 5
-3.544 8.681 4.217 5
-4.114 8.858 4.25 5
-4.114 8.858 4.25 4
-4.114 8.858 4.25 1
-4.296 8.853 3.599 5
-4.296 8.853 3.599 5
-4.942 8.628 3.269 5
-4.942 8.628 3.269 5
-5.402 8.394 2.225 5
-5.402 8.394 2.225 5
-5.919 8.212 1.392 5
-5.919 8.212 1.392 4
-5.919 8.212 1.392 1
-6.599 7.714 1.009 5
-7.538 7.163 0.199 5
-7.538 7.163 0.199 5
-7.538 7.163 0.199 4
-8.265 6.828 0.013 1
-8.265 6.828 0.013 5
-9.223 6.459 -0.293 5
-9.223 6.459 -0.293 5
-9.223 6.459 -0.293 4
-10.248 5.87 -0.207 1
-10.248 5.87 -0.207 5
-10.961 4.999 -0.839 5
-10.961 4.999 -0.839 5
-10.961 4.999 -0.839 4
-11.785 4.122 -0.901 1
-11.785 4.122 -0.901 5
-13.193 2.801 -0.901 5
-13.193 2.801 -0.901 5
-13.193 2.801 -0.901 4
-14.845 1.163 -1.078 1
-14.845 1.163 -1.078 5
-16.899 -0.253 -2.098 5
-16.899 -0.253 -2.098 5
-16.899 -0.253 -2.098 4
-18.23 -1.838 -2.811 1
-18.23 -1.838 -2.811 5
-19.47 -3.38 -2.783 5
-19.47 -3.38 -2.783 5
-19.47 -3.38 -2.783 4
-20.409 -5.281 -2.232 1
-20.409 -5.281 -2.232 5
-20.543 -7.489 -2.337 5
-19.595 -8.906 -1.921 5
-19.595 -8.906 -1.921 4
-19.595 -8.906 -1.921 1
-18.321 -11.066 -0.867 5
-18.321 -11.066 -0.867 5
-16.095 -13.69 -0.322 5
-16.095 -13.69 -0.322 5
-10.415 -14.245 -0.714 5
-10.415 -14.245 -0.714 5
-2.97 -13.584 0.97 5
-2.97 -13.584 0.97 4
-2.97 -13.584 0.97 1
3.882 -13.254 2.373 5
3.882 -13.254 2.373 5
15.182 -12.052 3.8 5
15.182 -12.052 3.8 4
15.182 -12.052 3.8 2
23.078 -10.017 7.401 4
23.078 -10.017 7.401 5
26.89 -7.824 10.825 5
26.89 -7.824 10.825 4
26.89 -7.824 10.825 1
28.604 -7.072 6.065 5
28.604 -7.072 6.065 5
33.503 -2.47 4.217 5
33.503 -2.47 4.217 4
33.503 -2.47 4.217 1
32.583 1.096 -0.575 5
32.583 1.096 -0.575 5
33.421 3.342 -6.518 5
33.421 3.342 -6.518 4
