# Accelerometer Data File
# Started @Thu Mar 30 19:11:10 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.333 5.645 8.158 0
0.333 5.645 8.158 5
0.209 5.64 8.115 5
0.209 5.64 8.115 3
0.209 5.64 8.115 2
0.262 5.669 7.904 5
0.262 5.669 7.904 5
0.223 5.702 7.851 5
0.223 5.702 7.851 3
0.223 5.702 7.851 2
0.348 5.803 7.87 5
0.348 5.803 7.87 5
0.319 5.822 7.803 5
0.319 5.822 7.803 3
0.319 5.822 7.803 2
0.343 5.894 7.981 5
0.343 5.894 7.981 5
0.3 5.865 7.899 5
0.3 5.865 7.899 3
0.3 5.865 7.899 2
0.367 5.822 7.818 5
0.367 5.822 7.818 5
0.338 5.88 7.914 5
0.338 5.88 7.914 3
0.305 5.875 7.904 2
0.305 5.875 7.904 5
0.314 5.803 7.875 5
0.314 5.803 7.875 5
0.314 5.803 7.875 3
0.31 5.832 7.904 2
0.31 5.832 7.904 5
0.319 5.861 7.914 5
0.319 5.861 7.914 5
0.319 5.861 7.914 3
0.295 5.808 7.846 2
0.295 5.808 7.846 5
0.295 5.846 7.88 5
0.295 5.846 7.88 5
0.295 5.846 7.88 3
0.305 5.87 7.851 2
0.305 5.87 7.851 5
0.228 5.803 7.88 5
0.228 5.803 7.88 5
0.228 5.803 7.88 3
0.252 5.808 7.856 2
0.252 5.808 7.856 5
0.18 5.798 7.813 5
0.18 5.798 7.813 5
0.18 5.798 7.813 3
0.214 5.808 7.918 2
0.214 5.808 7.918 5
0.448 5.894 7.914 5
0.448 5.894 7.914 5
0.448 5.894 7.914 3
0.492 5.961 8.028 2
0.53 5.947 8.143 5
0.53 5.947 8.143 5
0.42 5.923 7.933 5
0.42 5.923 7.933 3
0.42 5.923 7.933 2
0.295 5.822 7.894 5
0.295 5.822 7.894 5
0.166 5.822 7.923 5
0.166 5.822 7.923 3
0.166 5.822 7.923 2
0.008 5.822 7.875 5
0.008 5.822 7.875 5
-0.159 5.861 7.827 5
-0.159 5.861 7.827 3
-0.159 5.861 7.827 2
-0.264 5.865 7.674 5
-0.264 5.865 7.674 5
-0.216 5.846 7.636 5
-0.216 5.846 7.636 3
-0.216 5.846 7.636 2
-0.025 5.856 7.751 5
-0.025 5.856 7.751 5
0.281 5.928 7.88 5
0.281 5.928 7.88 3
0.281 5.928 7.88 2
0.501 5.942 8.019 5
0.501 5.942 8.019 5
0.602 5.923 8.124 5
0.602 5.923 8.124 3
0.602 5.923 8.124 2
0.702 5.942 8.196 5
0.65 5.98 8.244 5
0.65 5.98 8.244 5
0.65 5.98 8.244 3
0.53 5.918 8.1 2
0.53 5.918 8.1 5
0.333 5.956 8.033 6
0.333 5.956 8.033 5
0.333 5.956 8.033 2
0.257 5.937 7.866 2
0.257 5.937 7.866 5
0.137 5.942 7.775 5
0.137 5.942 7.775 5
0.137 5.942 7.775 3
0.123 5.956 7.803 2
0.123 5.956 7.803 5
0.175 5.923 7.813 5
0.175 5.923 7.813 5
0.175 5.923 7.813 3
0.3 5.798 7.808 2
0.3 5.798 7.808 5
0.401 5.765 7.909 5
0.401 5.765 7.909 5
0.401 5.765 7.909 3
0.453 5.655 8.019 2
0.453 5.655 8.019 5
0.582 5.525 8.028 5
0.582 5.525 8.028 5
0.582 5.525 8.028 3
0.568 5.42 8.119 2
0.568 5.42 8.119 5
0.448 5.41 8.1 5
0.295 5.506 7.928 5
0.295 5.506 7.928 3
0.295 5.506 7.928 2
0.29 5.631 7.593 5
0.29 5.631 7.593 5
0.29 5.827 7.425 5
0.29 5.827 7.425 3
0.29 5.827 7.425 2
0.185 5.971 7.435 5
0.185 5.971 7.435 5
0.017 6.047 7.473 5
0.017 6.047 7.473 3
0.017 6.047 7.473 2
-0.053 6.1 7.679 5
-0.053 6.1 7.679 5
-0.14 6.138 7.789 5
-0.14 6.138 7.789 3
-0.14 6.138 7.789 2
-0.14 6.263 7.827 5
-0.14 6.263 7.827 6
-0.053 6.387 7.976 5
-0.053 6.387 7.976 2
-0.053 6.387 7.976 2
0.046 6.454 8.009 5
0.046 6.454 8.009 5
0.07 6.497 8.052 5
0.07 6.497 8.052 4
0.07 6.497 8.052 1
0.19 6.536 8.095 5
0.19 6.536 8.095 5
0.386 6.469 8.215 5
0.386 6.469 8.215 4
0.396 6.426 8.479 1
0.396 6.426 8.479 5
0.333 6.32 8.593 5
0.333 6.32 8.593 5
0.333 6.32 8.593 4
0.152 6.272 8.627 1
0.152 6.272 8.627 5
-0.082 6.229 8.627 5
-0.082 6.229 8.627 5
-0.082 6.229 8.627 4
-0.278 6.272 8.55 1
-0.278 6.272 8.55 5
-0.48 6.196 8.287 6
-0.48 6.196 8.287 5
-0.48 6.196 8.287 3
-0.781 6.095 8.091 1
-0.781 6.095 8.091 5
-0.982 6.028 7.846 5
-0.982 6.028 7.846 5
-0.982 6.028 7.846 4
-1.15 6.086 7.846 1
-1.15 6.086 7.846 5
-1.236 6.023 7.803 5
-1.236 6.023 7.803 5
-1.236 6.023 7.803 4
-1.356 5.947 7.789 1
-1.356 5.947 7.789 5
-1.509 6.014 7.851 5
-1.509 6.014 7.851 5
-1.509 6.014 7.851 4
-1.629 6.023 7.942 1
-1.734 5.951 8.1 5
-1.734 5.951 8.1 6
-1.753 5.861 7.99 8
-1.753 5.861 7.99 1
-1.705 5.698 8.11 5
-1.705 5.698 8.11 5
-1.681 5.477 8.258 5
-1.681 5.477 8.258 4
-1.681 5.477 8.258 1
-1.739 5.324 8.431 5
-1.739 5.324 8.431 5
-1.859 5.185 8.445 5
-1.859 5.185 8.445 4
-1.859 5.185 8.445 1
-1.997 5.176 8.244 5
-1.997 5.176 8.244 6
-2.189 5.099 8.139 5
-2.189 5.099 8.139 3
-2.189 5.099 8.139 1
-2.376 4.97 7.985 5
-2.376 4.97 7.985 5
-2.51 4.769 8.143 5
-2.51 4.769 8.143 4
-2.51 4.769 8.143 1
-2.472 4.52 8.182 5
-2.472 4.52 8.182 6
-2.28 4.41 8.186 5
-2.28 4.41 8.186 3
-2.28 4.41 8.186 1
-2.275 4.299 8.33 5
-2.175 4.065 8.067 6
-2.175 4.065 8.067 5
-2.175 4.065 8.067 3
-2.199 4.036 7.712 1
-2.199 4.036 7.712 5
-2.299 4.007 7.736 5
-2.299 4.007 7.736 5
-2.299 4.007 7.736 4
-2.634 3.663 7.612 1
-2.634 3.663 7.612 5
-3.223 3.107 7.578 5
-3.223 3.107 7.578 5
-3.223 3.107 7.578 4
-3.487 2.528 7.607 1
-3.487 2.528 7.607 5
-3.75 2.063 8.043 6
-3.75 2.063 8.043 5
-3.75 2.063 8.043 3
-3.343 1.991 8.565 1
-3.343 1.991 8.565 5
-2.352 2.264 8.713 6
-2.352 2.264 8.713 5
-2.352 2.264 8.713 3
-0.81 3.035 8.388 1
-0.81 3.035 8.388 5
0.539 3.902 7.985 5
0.539 3.902 7.985 5
0.539 3.902 7.985 4
1.095 4.386 7.708 1
1.095 4.386 7.708 5
1.047 4.323 7.578 6
0.707 3.974 7.933 5
0.707 3.974 7.933 3
0.707 3.974 7.933 1
0.061 3.548 8.68 5
0.061 3.548 8.68 6
-0.508 3.141 8.962 5
-0.508 3.141 8.962 3
-0.508 3.141 8.962 2
-0.8 2.485 9.12 4
-0.8 2.485 9.12 6
-0.729 1.991 9.048 5
-0.729 1.991 9.048 3
-0.729 1.991 9.048 1
-0.25 1.857 8.708 5
-0.25 1.857 8.708 6
0.731 2.121 8.22 5
0.731 2.121 8.22 3
0.731 2.121 8.22 1
1.44 2.523 7.904 5
1.44 2.523 7.904 6
1.55 2.777 7.712 5
1.55 2.777 7.712 3
1.55 2.777 7.712 1
1.468 2.738 7.416 5
1.468 2.738 7.416 6
1.061 2.485 7.382 5
1.061 2.485 7.382 3
1.061 2.485 7.382 2
0.812 2.145 6.994 5
0.812 2.145 6.994 5
0.884 1.814 6.707 5
