# Accelerometer Data File
# Started @Mon Mar 27 17:00:31 MESZ 2017
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.009810001m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.588 3.373 10.081 0
0.706 3.53 10.081 10
0.862 3.53 10.12 14
0.823 3.334 9.963 6
0.745 3.177 10.12 10
0.902 3.295 10.277 10
0.902 3.216 9.806 10
0.941 3.53 9.845 10
1.059 3.53 9.845 10
1.059 3.177 9.61 10
0.823 3.138 9.375 10
0.862 3.334 9.649 10
1.059 3.648 9.61 10
1.137 3.569 9.532 10
1.059 3.177 9.375 10
1.019 3.098 9.532 10
0.941 3.255 9.532 10
0.941 3.177 9.688 10
0.98 3.02 9.845 10
0.902 3.098 9.806 10
0.823 2.941 9.767 10
0.862 2.981 9.885 10
0.823 2.981 9.845 10
0.666 2.863 9.806 10
0.666 2.785 9.61 10
0.666 2.863 9.571 10
0.627 2.941 9.414 10
0.666 3.02 9.335 10
0.745 3.02 9.375 10
0.784 2.981 9.296 10
0.666 2.941 9.139 10
0.745 2.902 9.179 10
0.784 2.981 9.375 10
0.862 3.138 9.492 10
0.902 3.177 9.845 10
0.745 3.177 10.002 10
0.588 3.177 10.238 10
0.47 3.216 10.355 10
0.549 3.373 10.434 10
0.627 3.255 10.316 10
0.549 3.138 10.395 10
0.627 3.177 10.395 10
0.706 3.373 10.395 10
0.627 3.373 10.473 10
0.549 3.255 10.395 10
0.47 3.098 10.355 10
0.588 3.177 10.316 10
0.627 3.295 10.355 10
0.666 3.412 10.277 10
0.666 3.412 10.12 10
0.549 3.373 10.042 10
0.588 3.412 10.159 10
0.666 3.569 10.277 10
0.666 3.53 10.395 10
0.549 3.412 10.551 10
0.431 3.412 10.551 10
0.509 3.295 10.591 10
0.549 3.255 10.63 10
0.509 3.334 10.395 10
0.666 3.334 10.355 10
0.784 3.295 10.316 9
0.823 3.216 10.12 11
0.784 3.216 10.042 10
0.745 3.177 10.002 10
0.745 3.216 10.12 10
0.666 3.216 10.12 10
0.706 3.255 10.042 10
0.666 3.295 10.159 10
0.549 3.295 10.159 10
0.627 3.255 10.12 10
0.549 3.295 10.081 10
0.549 3.295 10.12 10
0.47 3.216 10.042 10
