# Accelerometer Data File
# Started @Sat Apr 01 15:37:59 CEST 2017
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.43 7.096 6.445 10
-0.737 7.192 6.368 10
-1.283 7.297 6.368 10
-1.886 7.441 6.617 9
-2.547 7.594 7.086 10
-3.275 7.833 7.69 10
-3.744 8.006 7.977 10
-3.476 8.264 8.188 9
-2.557 8.887 9.212 10
-1.35 9.452 10.965 10
-0.153 9.787 12.65 10
1.082 10.017 14.03 9
2.509 10.093 15.303 10
5.928 10.285 17.563 10
10.16 10.228 18.588 10
12.804 9.95 17.219 9
14.451 10.247 14.422 10
14.987 10.352 11.654 10
14.93 9.557 9.777 10
16.251 8.532 8.743 10
17.975 7.623 8.169 9
18.655 6.378 7.91 10
17.937 4.797 7.69 10
16.031 3.169 6.579 10
13.608 1.714 5.248 9
11.492 0.517 3.964 10
10.381 -0.852 2.93 10
9.251 -2.011 2.116 10
7.584 -3.064 0.632 10
5.564 -4.443 -1.637 10
3.102 -5.908 -4.223 9
0.363 -7.086 -6.282 10
-2.93 -7.843 -7.92 10
-6.655 -7.814 -8.791 9
-9.634 -7.623 -8.753 10
-11.118 -7.671 -7.019 10
-11.453 -7.326 -4.338 9
-11.243 -7.105 -0.861 10
-11.185 -6.464 3.955 10
-11.616 -5.602 8.283 10
-12.105 -4.788 10.524 10
-12.469 -3.236 11.204 9
-13.445 -1.934 10.668 10
-14.211 -1.225 9.825 10
-14.135 -0.632 9.95 10
-13.895 0.928 11.76 9
-13.024 2.576 14.528 11
-10.975 3.265 17.123 9
-6.636 4.146 19.517 10
-0.727 5.65 21.155 10
4.616 6.722 22.562 9
9.107 8.082 24.449 10
12.018 9.816 26.795 10
14.633 10.975 28.079 9
17.458 12.009 27.418 10
19.393 12.976 25.713 10
20.475 13.675 23.204 10
21.787 14.068 20.321 10
22.093 14.25 17.152 9
21.193 13.512 14.623 10
19.613 11.827 12.785 10
17.334 10.026 10.955 10
14.69 8.188 9.414 10
12.325 6.215 8.121 9
10.342 4.616 6.1 10
8.81 3.533 2.987 10
6.588 2.537 -0.881 10
4.261 1.848 -3.227 9
2.413 1.34 -4.261 10
1.024 1.015 -4.28 10
0.545 1.082 -4.108 9
0.622 1.177 -3.562 10
0.785 1.398 -2.336 10
0.785 1.991 -1.273 10
0.833 2.681 -0.22 10
1.11 3.371 0.823 9
1.446 4.118 1.915 10
1.81 4.836 2.873 10
1.991 5.573 3.495 10
1.982 6.177 3.725 10
2.03 6.607 3.543 9
2.145 6.991 3.265 10
2.193 7.316 3.466 10
2.193 7.489 4.242 10
2.183 7.718 5.391 9
2.269 7.795 6.406 10
2.451 7.862 7.058 10
2.815 7.948 7.517 10
2.633 8.101 7.785 10
1.867 8.264 7.91 9
1.465 8.188 7.9 10
1.168 8.082 7.747 10
1.005 7.92 7.354 10
1.244 7.833 7.163 9
1.139 7.69 6.924 10
0.488 7.125 6.703 10
0.43 6.876 6.866 9
1.254 7.575 7.824 10
1.455 7.527 7.757 10
2.317 4.979 6.234 10
1.426 6.924 5.64 10
0.718 8.59 5.822 10
0.373 7.45 6.502 9
-0.067 6.253 7.575 10
-0.287 5.947 8.781 10
-0.21 6.11 9.433 9
0.105 6.646 9.595 10
0.536 6.952 8.389 10
0.459 6.991 6.847 10
-0.105 6.809 5.995 9
-0.584 6.598 5.65 10
-0.737 6.607 5.679 10
-0.43 6.598 6.952 10
0.105 6.454 8.264 9
0.718 6.473 9.002 10
1.244 7.029 9.174 10
1.244 7.096 8.609 10
0.766 7.125 7.967 10
0.21 7.144 7.671 9
-0.047 6.933 7.642 10
0.028 6.952 7.527 10
0.44 7.058 7.077 9
1.015 6.962 6.426 11
1.455 7.096 5.841 9
1.608 7.297 5.468 10
1.57 7.441 5.458 10
1.321 7.469 5.841 9
0.948 7.287 6.301 10
0.66 7.01 6.368 10
0.45 6.818 6.138 10
0.545 6.646 7.086 9
0.134 5.88 6.991 10
-0.383 6.646 6.799 10
-0.402 7.364 6.722 10
-0.306 7.508 6.55 9
-0.057 7.259 6.177 10
0.316 6.933 6.071 10
0.708 6.866 6.301 10
1.015 7.038 6.588 10
1.206 7.115 6.378 10
1.264 7.038 5.746 9
1.082 7.134 5.276 10
0.555 7.326 5.219 10
0.153 7.422 5.525 9
0.0 7.335 6.11 10
0.057 7.0 6.675 10
0.124 6.713 6.971 10
0.134 6.675 6.837 9
0.153 6.751 6.454 10
0.201 6.809 6.052 10
0.306 6.77 5.669 10
0.402 6.713 5.554 9
0.143 6.856 5.765 10
-0.191 7.058 6.253 10
-0.181 7.038 6.598 10
0.086 6.809 6.713 10
0.421 6.598 6.828 9
0.536 6.646 6.77 10
0.421 6.703 6.598 10
0.383 6.445 6.607 10
0.689 5.975 6.713 9
0.861 6.119 6.77 10
0.909 6.54 6.933 10
0.919 6.904 6.991 10
0.852 6.876 7.038 9
0.584 6.502 7.24 10
0.402 6.052 7.747 10
0.277 5.717 8.025 10
0.162 5.497 7.958 9
0.105 5.43 7.671 10
0.316 5.439 7.613 10
0.574 5.564 7.891 10
0.785 5.717 8.111 10
0.948 5.726 8.264 9
1.139 5.602 8.494 10
1.446 5.401 8.944 10
1.618 5.315 9.232 10
1.599 5.564 9.03 9
1.446 5.937 8.762 10
1.264 6.205 8.705 10
1.101 6.244 8.695 10
1.091 6.023 8.638 9
1.024 5.813 8.686 10
0.737 5.688 8.667 10
0.526 5.631 8.59 10
0.44 5.669 8.293 9
0.536 5.784 7.671 10
0.603 5.87 7.354 10
0.737 5.937 7.268 10
0.919 5.918 7.077 10
0.995 5.947 6.761 9
1.015 6.1 6.531 10
0.919 6.282 6.56 10
0.699 6.33 6.713 10
0.536 6.33 6.971 9
0.459 6.291 7.536 10
0.507 6.263 7.852 10
0.833 6.205 7.852 10
0.976 6.244 8.197 9
1.053 6.349 7.939 10
0.928 6.426 7.642 10
0.871 6.339 7.383 10
0.737 6.244 7.038 10
1.292 6.636 7.144 9
1.608 7.0 7.479 10
1.082 7.019 7.508 10
1.187 7.019 7.584 10
1.561 7.019 7.891 9
1.091 6.876 7.651 10
0.67 6.761 7.259 10
0.201 6.588 6.904 10
0.057 6.521 6.406 9
-0.201 6.55 6.023 10
-0.421 6.473 6.119 10
-0.421 6.368 6.378 10
-0.239 6.311 6.387 9
0.057 6.311 6.205 10
0.287 6.32 5.985 10
0.287 6.397 5.937 10
0.172 6.426 6.023 10
-0.134 6.32 6.301 9
0.028 6.521 6.636 10
0.459 6.962 6.598 10
1.168 7.24 6.962 10
1.417 7.374 7.326 9
1.292 7.489 7.23 10
1.302 7.096 6.722 10
1.379 6.579 6.531 10
1.398 6.732 6.732 9
1.235 6.856 7.259 10
1.024 6.78 7.575 10
0.9 6.387 7.718 10
0.804 5.813 7.709 10
0.785 5.516 7.69 9
0.833 5.841 7.412 10
1.13 6.205 7.067 10
1.321 6.512 6.531 10
1.292 6.732 6.703 9
1.034 6.866 7.01 10
0.622 6.962 7.125 10
0.325 7.134 6.943 10
0.181 7.402 6.598 9
0.067 7.651 6.291 10
-0.114 7.824 6.167 10
-0.21 7.661 5.908 10
-0.392 7.45 5.679 10
-0.555 7.163 5.736 10
-0.699 7.01 6.014 9
-0.545 6.837 6.167 10
-0.22 6.962 6.406 10
0.172 7.115 6.56 9
0.325 7.24 6.77 10
0.402 6.991 6.56 10
0.421 6.847 6.234 10
0.153 7.019 6.196 9
-0.469 7.278 6.54 10
-0.871 7.517 7.125 10
-0.612 7.69 7.077 10
-0.488 7.632 6.301 10
-0.555 7.738 5.679 9
-0.536 7.891 5.583 10
-0.785 7.939 5.688 10
-1.024 7.929 5.707 9
-1.302 8.082 5.707 10
-1.312 8.207 5.64 10
-1.043 7.977 5.41 10
-0.632 7.642 5.315 10
-0.287 7.527 5.573 9
-0.143 7.603 6.081 10
-0.095 7.556 6.32 10
-0.143 7.469 6.311 10
-0.268 7.412 6.157 9
-0.43 7.422 5.88 10
-0.517 7.565 5.554 10
-0.699 7.785 5.497 10
-0.842 7.91 5.535 10
-0.746 7.862 5.736 10
-0.497 7.833 5.774 9
-0.354 7.9 5.506 10
-0.296 7.9 5.257 9
-0.344 7.824 5.123 10
-0.488 7.805 5.018 10
-0.469 7.891 5.056 10
-0.45 7.987 4.999 10
-0.699 8.121 4.979 9
-0.833 8.255 5.315 10
-0.622 8.283 5.612 10
-0.603 8.264 5.458 10
-0.641 8.063 2.796 9
-1.704 8.81 3.543 11
-1.695 8.82 6.665 9
-1.647 8.59 6.981 10
-1.733 8.456 6.311 10
-1.484 8.207 5.295 9
-0.833 7.814 4.357 10
-0.153 7.824 4.299 10
0.268 8.054 4.817 10
0.277 8.159 5.018 9
0.114 7.958 4.932 10
-0.181 7.68 4.759 10
-0.373 7.584 4.683 10
-0.402 7.891 4.242 9
-0.028 7.738 5.046 10
0.287 7.738 5.985 10
0.593 7.814 6.244 10
0.584 7.776 6.138 9
0.277 7.671 5.947 11
0.143 7.575 5.88 9
0.21 7.651 5.966 10
0.325 7.623 5.995 9
0.507 7.68 6.014 10
0.66 7.833 6.014 10
0.746 7.881 5.717 10
0.689 7.881 5.506 9
0.536 7.9 5.42 10
0.411 7.977 5.363 10
0.239 8.092 5.286 10
0.201 8.13 5.295 10
0.296 8.034 5.286 9
0.421 7.967 5.315 10
0.507 7.929 5.382 10
0.536 7.939 5.43 10
0.507 7.91 5.602 9
0.43 7.862 5.707 10
0.287 7.862 5.832 10
0.21 7.881 5.87 10
0.22 7.814 5.698 10
0.22 7.785 5.592 9
0.239 7.785 5.525 10
0.277 7.805 5.477 10
0.21 7.862 5.477 9
0.143 7.881 5.506 10
0.21 7.843 5.535 10
0.277 7.785 5.602 10
0.383 7.671 5.573 10
0.45 7.594 5.506 10
0.411 7.642 5.477 9
0.373 7.69 5.42 10
0.287 7.757 5.42 10
0.287 7.795 5.516 9
0.383 7.738 5.468 10
0.478 7.709 5.477 10
0.402 7.738 5.468 10
0.287 7.805 5.506 9
0.287 7.824 5.573 10
0.316 7.833 5.659 10
0.306 7.824 5.736 10
0.277 7.814 5.688 9
0.22 7.852 5.65 10
0.22 7.872 5.64 10
0.248 7.805 5.516 10
0.306 7.738 5.401 10
0.268 7.747 5.43 9
0.277 7.747 5.487 10
0.344 7.785 5.43 10
0.306 7.814 5.468 10
0.268 7.776 5.564 10
0.229 7.814 5.774 9
0.191 7.92 5.832 10
0.153 7.958 5.88 10
0.124 7.929 6.042 9
0.076 7.9 5.985 10
0.019 7.9 5.899 10
0.028 7.91 5.755 10
0.105 7.91 5.612 10
0.143 7.948 5.621 9
0.153 7.977 5.64 10
0.143 7.958 5.573 10
0.134 7.967 5.468 10
0.076 7.987 5.41 9
-0.067 7.987 5.401 10
-0.095 7.977 5.43 10
0.047 7.891 5.324 10
0.153 7.824 5.19 9
0.21 7.776 5.133 10
0.306 7.785 5.248 10
0.296 7.852 5.41 10
0.268 7.843 5.391 10
0.201 7.776 5.334 9
0.143 7.718 5.391 10
0.143 7.699 5.42 10
0.153 7.738 5.43 10
0.21 7.814 5.564 9
0.21 7.872 5.612 10
0.191 7.872 5.525 10
0.134 7.805 5.372 10
0.067 7.9 5.391 10
0.105 7.977 5.573 9
0.143 7.833 5.544 10
0.143 7.709 5.305 10
0.134 7.747 5.123 10
0.057 7.862 5.133 9
0.067 7.9 5.056 10
0.076 7.852 4.97 10
0.038 7.967 5.238 10
-0.105 8.082 5.305 9
-0.478 8.197 4.999 10
-1.714 8.734 -0.134 10
-2.03 9.289 6.703 10
-1.675 8.552 7.747 9
-1.187 8.226 6.55 10
-0.928 8.36 6.157 10
-0.785 8.293 5.612 10
-0.545 8.207 4.692 9
-0.67 8.465 4.558 10
-0.603 8.341 4.75 10
-0.488 7.996 4.635 10
-0.517 7.881 4.453 9
-0.517 7.958 4.309 10
-0.478 8.006 4.481 10
-0.45 8.006 4.587 10
-0.392 7.977 4.797 10
-0.325 7.929 5.181 10
-0.038 7.881 5.717 9
0.22 7.718 6.177 10
0.402 7.575 6.531 10
0.622 7.594 6.617 10
0.344 7.718 6.761 9
0.095 7.776 6.828 10
-0.143 7.776 6.368 10
-0.268 7.747 5.841 9
-0.22 7.862 5.688 10
0.114 7.766 5.602 10
0.296 7.393 5.554 10
0.296 7.297 5.851 9
0.21 7.441 6.224 10
0.067 7.632 6.291 10
0.009 7.709 6.167 10
0.114 7.613 6.196 10
0.392 7.383 6.157 9
0.555 7.144 6.014 10
0.411 7.144 5.975 10
0.392 7.383 6.224 10
0.335 7.556 6.244 10
0.134 7.556 6.157 9
-0.057 7.556 6.196 10

# Completed @Sat Apr 01 15:38:05 CEST 2017
