# Accelerometer Data File
# Started @Sun Mar 26 22:18:09 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.731 6.852 6.448 0
0.731 6.852 6.448 4
1.033 7.192 6.563 5
1.698 7.905 6.597 5
1.698 7.905 6.597 3
1.698 7.905 6.597 2
1.626 8.317 6.63 5
1.626 8.317 6.63 5
-0.762 8.542 6.836 5
-0.762 8.542 6.836 3
-0.762 8.542 6.836 3
-1.873 8.437 6.405 4
-1.873 8.437 6.405 5
-1.49 7.848 4.499 5
-1.49 7.848 4.499 4
-1.49 7.848 4.499 1
0.065 7.522 4.581 5
0.065 7.522 4.581 5
0.817 8.365 5.146 5
0.817 8.365 5.146 3
0.817 8.365 5.146 2
0.329 7.335 6.889 5
0.329 7.335 6.889 5
0.084 7.321 6.558 5
0.084 7.321 6.558 3
0.084 7.321 6.558 2
0.453 7.766 6.769 5
0.453 7.766 6.769 5
0.731 7.848 5.96 5
0.731 7.848 5.96 4
0.635 7.972 5.706 6
0.635 7.972 5.706 5
0.013 7.757 6.472 5
0.013 7.757 6.472 3
0.013 7.757 6.472 2
-0.312 7.671 6.98 5
-0.025 7.833 6.199 5
-0.025 7.833 6.199 5
-0.025 7.833 6.199 4
0.152 7.848 5.084 1
0.152 7.848 5.084 5
-0.073 7.896 4.097 5
-0.073 7.896 4.097 5
-0.073 7.896 4.097 4
-0.475 7.829 3.408 1
-0.475 7.829 3.408 5
-0.733 7.848 3.331 5
-0.733 7.848 3.331 5
-0.733 7.848 3.331 3
0.041 8.236 4.902 2
0.041 8.236 4.902 5
0.19 8.724 5.017 5
0.19 8.724 5.017 5
0.19 8.724 5.017 3
0.779 8.513 5.424 2
0.779 8.513 5.424 5
1.224 8.365 6.386 5
1.224 8.365 6.386 5
1.224 8.365 6.386 4
1.411 7.963 6.262 1
1.411 7.963 6.262 5
1.09 7.479 6.803 5
1.09 7.479 6.803 5
1.09 7.479 6.803 3
0.75 7.718 6.827 2
0.75 7.718 6.827 5
0.592 7.867 6.348 5
-0.149 7.776 7.454 5
-0.149 7.776 7.454 3
-0.149 7.776 7.454 2
1.454 7.551 5.591 5
1.454 7.551 5.591 5
-0.283 7.196 6.099 5
-0.283 7.196 6.099 5
-1.495 7.249 9.479 5
-1.495 7.249 9.479 5
0.29 7.541 7.88 5
0.29 7.541 7.88 3
0.29 7.541 7.88 2
1.531 8.106 6.846 5
1.531 8.106 6.846 5
0.899 7.613 7.344 5
0.899 7.613 7.344 4
0.899 7.613 7.344 1
-0.374 6.856 7.717 5
-0.374 6.856 7.717 5
-0.594 7.551 5.333 5
-0.594 7.551 5.333 4
-1.567 7.273 5.175 6
-1.567 7.273 5.175 5
-2.237 7.34 6.209 5
-2.237 7.34 6.209 4
-2.237 7.34 6.209 2
-0.432 7.326 6.549 4
-0.432 7.326 6.549 5
-0.001 8.513 5.04 5
-0.001 8.513 5.04 4
-0.001 8.513 5.04 1
-0.532 8.877 5.85 5
0.788 8.236 4.969 5
0.788 8.236 4.969 5
0.788 8.236 4.969 4
0.19 7.852 4.466 1
0.19 7.852 4.466 5
0.827 8.097 3.819 5
0.827 8.097 3.819 5
0.827 8.097 3.819 4
1.291 8.7 3.819 1
1.291 8.7 3.819 5
1.057 8.628 4.945 5
1.057 8.628 4.945 5
1.057 8.628 4.945 4
1.689 7.781 4.605 1
1.689 7.781 4.605 5
1.918 7.651 5.323 5
1.918 7.651 5.323 5
1.918 7.651 5.323 5
0.377 8.729 3.829 5
-0.729 8.408 5.385 5
-0.729 8.408 5.385 5
-0.729 8.408 5.385 4
1.598 7.953 5.251 1
1.598 7.953 5.251 5
2.325 8.762 4.198 5
2.325 8.762 4.198 5
2.325 8.762 4.198 4
2.33 8.02 3.853 1
2.33 8.02 3.853 5
0.841 7.517 5.668 5
0.841 7.517 5.668 5
0.841 7.517 5.668 4
1.167 7.618 6.372 6
1.167 7.618 6.372 5
1.952 8.226 5.764 5
1.952 8.226 5.764 4
1.952 8.226 5.764 1
2.239 8.422 5.629 5
2.239 8.422 5.629 5
1.871 8.489 5.443 5
1.871 8.489 5.443 4
1.871 8.489 5.443 1
0.683 8.24 6.314 5
0.683 8.24 6.314 5
0.487 7.551 5.754 5
0.487 7.551 5.754 4
0.487 7.551 5.754 2
-0.843 6.517 7.372 4
-0.843 6.517 7.372 5
-0.614 6.435 7.597 5
-0.614 6.435 7.597 4
-0.614 6.435 7.597 1
-0.355 6.282 6.98 5
-0.355 6.282 6.98 5
0.041 6.828 7.349 5
0.041 6.828 7.349 4
0.041 6.828 7.349 1
0.645 7.115 7.396 5
0.645 7.115 7.396 5
0.721 7.383 5.869 5
0.721 7.383 5.869 5
-0.987 7.374 6.065 5
-0.987 7.374 6.065 5
0.08 7.378 5.629 5
0.08 7.378 5.629 4
0.405 7.479 5.577 1
0.405 7.479 5.577 5
0.999 8.212 5.85 5
0.999 8.212 5.85 5
0.999 8.212 5.85 4
0.487 7.987 6.123 2
0.487 7.987 6.123 4
0.07 7.201 7.497 5
0.07 7.201 7.497 5
0.07 7.201 7.497 5
-0.834 7.187 8.541 1
-0.834 7.187 8.541 4
-0.231 7.11 8.656 5
-0.231 7.11 8.656 5
-0.231 7.11 8.656 4
0.175 6.641 6.769 1
0.175 6.641 6.769 5
0.003 7.752 6.692 5
0.003 7.752 6.692 5
0.003 7.752 6.692 4
-0.235 7.948 6.056 1
-0.235 7.948 6.056 5
-0.01 7.575 5.428 5
-0.01 7.575 5.428 5
-0.01 7.575 5.428 5
0.219 7.56 5.787 5
0.745 7.738 6.64 5
0.745 7.738 6.64 5
0.745 7.738 6.64 4
0.827 8.106 7.19 1
0.827 8.106 7.19 5
0.683 8.231 6.63 5
0.367 8.116 5.816 5
0.367 8.116 5.816 4
0.367 8.116 5.816 1
-0.058 8.058 5.519 6
-0.058 8.058 5.519 5
0.161 8.437 5.313 5
0.161 8.437 5.313 4
0.602 8.427 5.39 6
0.602 8.427 5.39 5
0.42 7.896 6.156 5
0.42 7.896 6.156 3
0.42 7.896 6.156 2
0.041 7.465 7.363 5
0.041 7.465 7.363 5
0.041 7.417 7.674 5
0.041 7.417 7.674 3
0.041 7.417 7.674 2
-0.106 7.225 7.305 5
-0.106 7.225 7.305 5
-0.508 7.187 6.793 5
-0.508 7.187 6.793 4
-0.681 7.422 6.621 6
-0.681 7.422 6.621 5
-0.796 7.359 6.262 5
-0.796 7.359 6.262 3
-0.796 7.359 6.262 2
-0.81 7.378 6.664 5
-0.81 7.378 6.664 5
-0.283 7.527 6.41 5
-0.283 7.527 6.41 3
-0.283 7.527 6.41 2
-0.422 7.536 5.874 5
-0.805 7.776 5.993 5
-0.805 7.776 5.993 5
-0.805 7.776 5.993 4
-0.915 7.56 5.519 1
-0.915 7.56 5.519 5
-0.786 7.556 5.759 5
-0.786 7.556 5.759 5
-0.786 7.556 5.759 3
-0.614 7.422 5.95 2
-0.614 7.422 5.95 5
-0.834 7.177 6.19 5
-0.834 7.177 6.19 5
-0.834 7.177 6.19 3
-1.222 7.235 5.783 2
-1.222 7.235 5.783 5
-1.523 7.302 5.261 5
-1.523 7.302 5.261 5
-1.523 7.302 5.261 4
-1.59 7.196 5.213 6
-1.274 7.254 5.218 5
-1.274 7.254 5.218 5
-1.274 7.254 5.218 3
-1.988 7.541 5.946 2
-1.988 7.541 5.946 5
-0.231 7.005 5.036 5
-0.231 7.005 5.036 5
-0.231 7.005 5.036 4
-1.581 7.015 5.692 1
-1.581 7.015 5.692 5
-1.547 7.192 5.673 5
-1.547 7.192 5.673 5
-1.547 7.192 5.673 4
-1.835 7.35 4.969 6
-1.835 7.35 4.969 5
-1.519 7.402 4.729 5
