Point	a_{x}	a_{z}
217	-0.28880447	-0.52394754
218	-0.10686419	-0.8089685
219	-0.13310477	-0.65141815
220	-0.49117726	0.30865082
221	0.038075577	0.19742927
222	0.07944796	-0.5289274
223	-0.15854825	-0.11935039
224	-0.23661213	-0.022372793
225	-0.31073517	0.28843367
226	-0.2549616	0.63387877
227	-0.32056108	-0.0343419
228	0.06873545	-0.74284303
229	0.047258005	-0.4406804
230	-0.11563395	0.22440334
231	-0.092893	0.1518795
232	-0.16758254	-0.15986882
233	-0.27287695	-0.14353994
234	-0.014501941	-0.06411556
235	0.20414965	0.18090163
236	0.038231038	0.003998434
237	0.2056785	-0.3709505
238	0.060188588	-0.3709655
239	0.00290594	-0.2279735
240	-0.042395346	-0.3585123
241	-0.23620759	-0.41731286
242	-0.13540785	-0.26933342
243	-0.26276633	-0.04710991
244	-0.12193706	0.059332184
245	0.026777089	-0.015282012
