# Accelerometer Data File
# Started @Sat Apr 01 16:23:12 CEST 2017
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.881 7.709 1.877 0
0.737 7.805 2.336 9
0.881 8.169 3.821 10
0.881 8.216 4.367 10
2.011 8.465 5.085 10
2.298 8.226 4.548 9
2.078 7.977 3.658 10
1.944 7.881 3.562 10
1.857 8.034 4.127 10
1.896 8.073 4.903 9
1.685 7.958 5.209 10
1.455 8.006 5.152 10
1.158 8.044 4.702 10
1.063 8.36 4.165 9
1.043 8.542 3.897 10
1.264 8.772 4.223 10
1.561 8.877 4.644 10
1.8 8.81 4.558 10
1.953 8.456 4.989 9
2.039 8.283 5.42 10
2.059 8.341 5.401 10
2.154 8.398 5.123 10
2.173 8.322 4.73 9
1.877 8.418 4.347 10
1.484 8.303 4.003 10
1.369 8.207 3.926 10
0.919 8.35 3.916 9
0.785 8.858 4.51 10
1.264 9.308 4.855 10
1.647 9.078 5.171 10
2.078 8.801 5.123 9
1.886 8.762 4.807 10
1.187 8.896 4.548 10
0.89 8.599 4.386 10
0.469 8.341 4.175 10
0.421 8.216 4.204 9
1.321 8.724 3.533 10
2.154 8.743 4.185 10
2.585 8.791 4.912 10
2.164 8.858 5.228 9
1.685 8.992 5.152 10
1.369 9.097 4.606 10
1.082 9.059 4.06 10
0.603 9.155 3.361 9
0.21 9.165 2.987 10
0.038 9.097 2.959 10
0.248 8.906 3.256 10
0.44 8.82 3.629 9
0.584 8.848 4.003 10
0.536 8.858 4.165 10
0.402 8.772 4.367 10
0.114 8.647 4.367 10
-0.679 8.724 3.821 9
-0.545 8.398 3.313 10
-0.871 8.58 3.007 10
-0.699 8.81 2.413 10
-0.172 8.734 2.346 9
0.067 8.714 2.413 10
0.028 8.724 2.547 10
-0.306 8.686 2.758 10
-0.593 8.734 2.844 9
-0.756 8.762 2.767 10
-0.823 8.848 2.394 10
-0.814 8.973 2.001 10
-0.775 9.04 1.608 10
-0.574 9.021 1.254 9
-0.411 8.896 0.909 10
-0.296 8.887 0.861 10
-0.153 8.896 1.024 10
0.201 8.887 1.436 9
0.507 8.954 1.867 10
0.746 8.992 2.355 10
0.545 9.069 2.662 10
0.172 9.117 2.671 9
-0.153 9.117 2.422 10
-0.325 9.078 2.48 10
-0.134 9.097 3.131 10
0.277 9.097 4.012 9
0.66 9.117 4.855 10
0.612 9.193 5.027 10
0.478 9.279 4.855 10
0.363 9.318 4.587 10
0.21 9.327 4.309 9
0.095 9.318 3.801 10
0.047 9.212 3.313 10
0.067 9.184 3.102 10
0.095 9.107 3.035 9
0.134 9.069 2.92 10
0.162 9.059 2.892 10
0.21 9.011 3.016 10
0.43 8.925 3.208 9
0.565 8.887 3.198 10
0.517 8.829 2.853 10
0.497 8.762 2.537 10
0.603 8.734 2.432 9
0.622 8.676 2.25 10
0.517 8.571 1.857 10
0.392 8.513 2.269 10
0.363 8.465 3.371 10
0.517 8.36 4.587 9
0.632 8.322 5.516 10
0.785 8.312 6.205 10
0.67 8.322 6.426 10
0.421 8.398 6.177 10
0.114 8.427 5.602 9
-0.067 8.456 4.97 10
-0.21 8.475 4.644 10
-0.239 8.475 4.979 9
-0.105 8.437 5.813 10
0.153 8.485 6.464 10
0.488 8.513 6.675 10
0.622 8.628 6.349 9
0.679 8.705 5.88 10
0.622 8.762 5.468 10
0.421 8.772 5.2 10
0.143 8.695 5.142 10
-0.095 8.609 5.334 9
-0.21 8.532 5.391 10
-0.143 8.456 5.315 10
0.009 8.427 5.228 10
0.134 8.389 5.066 9
0.181 8.35 4.807 10
0.373 8.283 4.797 10
0.507 8.216 4.836 10
0.277 8.169 4.893 9
0.019 8.188 4.855 10
-0.162 8.169 4.817 10
-0.143 8.197 4.826 10
0.0 8.245 4.826 10
0.076 8.245 4.635 9
0.239 8.293 4.434 10
0.584 8.264 4.74 10
0.871 8.159 5.008 10
1.005 8.13 5.238 9
0.861 8.188 5.468 10
0.584 8.255 5.573 10
0.316 8.293 5.477 10
0.21 8.293 5.248 10
0.21 8.264 4.884 9
0.22 8.255 4.587 10
0.335 8.207 4.309 10
0.44 8.169 4.252 9
0.517 8.13 4.405 10
0.507 8.13 4.606 10
0.277 8.14 4.73 10
0.181 8.169 4.807 10
0.21 8.121 4.96 9
0.316 8.159 5.2 10
0.354 8.169 5.008 10
0.258 8.169 4.577 10
0.162 8.149 4.175 9
0.134 8.14 3.916 10
0.162 8.082 3.897 10
0.086 8.015 4.05 10
-0.038 7.929 4.252 10
-0.019 7.862 4.568 9
0.076 7.805 4.96 10
0.038 7.747 5.056 10
0.095 7.709 4.893 9
0.306 7.718 4.625 10
0.507 7.671 4.596 10
0.392 7.594 4.826 10
0.172 7.536 5.295 10
-0.162 7.508 5.477 9
-0.239 7.412 5.497 10
0.047 7.335 5.707 10
0.21 7.287 6.224 10
0.22 7.316 6.301 9
0.21 7.316 5.937 10
0.134 7.297 5.65 10
-0.248 7.259 5.516 10
-0.354 7.316 5.65 9
-0.086 7.211 6.071 10
-0.363 7.134 6.378 10
-0.756 7.144 6.167 10
-1.206 7.201 5.707 9
-1.991 7.316 5.209 10
-2.652 7.374 4.501 10
-2.806 7.402 3.725 10
-2.624 7.335 3.447 10
-2.327 7.23 3.466 9
-2.212 7.077 3.438 10
-1.742 7.096 3.811 10
-1.465 6.866 4.51 10
-1.771 6.607 5.42 9
-0.995 5.899 8.111 10
4.194 4.127 9.864 10
8.983 4.51 12.995 10
11.587 5.315 17.324 10
12.919 4.548 20.963 9
13.953 4.031 23.041 10
18.033 5.161 25.522 10
23.76 5.975 28.366 9
26.182 4.845 30.406 10
23.329 2.691 29.142 10
18.081 1.972 24.612 10
16.127 1.292 20.092 10
16.816 -0.335 17.257 9
16.807 -2.422 14.173 10
16.002 -4.424 9.059 10
14.499 -6.234 4.118 10
11.54 -7.977 -0.057 10
7.546 -9.624 -4.443 9
2.738 -9.835 -8.676 10
0.316 -9.461 -11.281 10
0.392 -9.883 -11.338 9
-1.331 -10.113 -10.362 10
-4.778 -10.304 -9.835 10
-7.881 -10.486 -9.366 10
-12.22 -9.49 -8.044 10
-15.773 -8.063 -6.809 9
-17.554 -7.354 -6.129 10
-18.626 -7.556 -6.569 10
-20.092 -7.048 -6.157 10
-20.216 -6.933 -4.501 9
-17.717 -6.818 -0.459 10
-14.738 -6.732 3.112 10
-13.072 -7.153 4.654 10
-12.65 -7.613 6.531 10
-11.568 -7.249 11.214 9
-11.971 -7.469 16.433 10
-13.225 -7.824 21.289 10
-11.856 -8.264 25.953 9
-8.13 -8.916 29.755 10
-1.819 -9.528 32.561 10
5.87 -9.749 34.505 10
11.808 -9.452 37.11 9
16.979 -8.063 40.356 10
19.948 -5.774 41.879 10
20.207 -3.495 41.812 10
19.45 -2.202 40.979 10
20.427 -1.522 39.035 9
22.85 -1.417 34.457 10
24.392 -2.059 28.711 10
24.325 -3.524 21.873 10
22.495 -4.453 14.279 9
20.599 -4.73 7.623 10
18.703 -4.328 1.666 10
18.052 -3.936 -2.011 10
17.985 -4.625 -2.892 9
15.696 -5.774 -3.265 10
9.643 -6.78 -7.651 10
1.474 -5.717 -15.054 10
-4.194 -3.323 -19.938 9
-5.363 -1.522 -19.105 10
-4.28 0.593 -14.25 10
-3.629 2.432 -9.864 10
-3.409 2.432 -7.067 10
-4.06 2.116 -4.548 10
-4.845 3.122 -2.221 9
-4.903 4.146 -0.909 10
-3.878 4.596 -0.076 10
-2.327 5.066 0.881 9
-0.823 5.956 2.135 10
0.162 6.933 3.351 10
0.335 7.469 4.012 10
0.316 7.872 4.625 9
0.43 8.341 5.803 10
0.775 8.705 7.383 10
1.024 8.916 8.35 10
0.565 8.935 8.772 10
-0.459 8.762 9.251 9
