# Accelerometer Data File
# Started @Fri Mar 31 10:47:48 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.554 6.526 7.281 0
0.554 6.526 7.281 5
0.697 6.517 7.698 5
0.697 6.517 7.698 4
0.697 6.517 7.698 1
0.712 6.521 7.732 5
0.712 6.521 7.732 5
0.611 6.56 7.607 5
0.611 6.56 7.607 3
0.611 6.56 7.607 2
0.401 6.579 7.439 5
0.401 6.579 7.439 5
0.223 6.574 7.248 5
0.223 6.574 7.248 3
0.18 6.607 7.214 2
0.18 6.607 7.214 5
0.142 6.564 7.315 5
0.142 6.564 7.315 5
0.142 6.564 7.315 3
0.199 6.631 7.238 2
0.199 6.631 7.238 5
0.353 6.713 7.368 5
0.353 6.713 7.368 5
0.353 6.713 7.368 3
0.563 6.799 7.55 2
0.563 6.799 7.55 5
0.568 6.833 7.746 5
0.568 6.833 7.746 5
0.568 6.833 7.746 3
0.477 6.646 7.655 2
0.477 6.646 7.655 5
0.271 6.641 7.688 5
0.271 6.641 7.688 5
0.271 6.641 7.688 3
0.175 6.631 7.487 2
0.175 6.631 7.487 5
0.314 6.78 7.387 5
0.314 6.78 7.387 5
0.314 6.78 7.387 3
0.429 6.785 7.272 2
0.429 6.785 7.272 5
0.453 6.785 7.114 5
0.453 6.785 7.114 5
0.453 6.785 7.114 3
0.53 6.737 7.21 2
0.654 6.617 7.339 5
0.654 6.617 7.339 5
0.702 6.521 7.502 5
0.702 6.521 7.502 4
0.702 6.521 7.502 1
0.559 6.493 7.473 5
0.559 6.493 7.473 5
0.511 6.411 7.372 5
0.511 6.411 7.372 3
0.511 6.411 7.372 2
0.525 6.397 7.339 5
0.525 6.397 7.339 5
0.549 6.531 7.157 5
0.549 6.531 7.157 3
0.549 6.531 7.157 2
0.621 6.54 7.009 5
0.621 6.54 7.009 5
0.726 6.607 7.013 5
0.726 6.607 7.013 3
0.726 6.607 7.013 2
0.817 6.607 7.032 5
0.817 6.607 7.032 5
0.769 6.703 6.989 5
0.769 6.703 6.989 4
0.769 6.703 6.989 1
0.86 6.641 6.961 5
0.86 6.641 6.961 5
0.889 6.584 7.253 5
0.889 6.584 7.253 3
0.922 6.655 7.545 2
0.922 6.655 7.545 5
0.985 6.497 7.401 5
0.985 6.497 7.401 5
0.985 6.497 7.401 3
0.827 6.617 7.31 2
0.827 6.617 7.31 5
0.764 6.66 7.143 5
0.764 6.66 7.143 5
0.764 6.66 7.143 3
0.76 6.77 7.013 2
0.76 6.77 7.013 5
0.922 6.924 7.013 5
0.922 6.924 7.013 5
0.922 6.924 7.013 3
1.023 7.01 7.157 2
1.023 7.01 7.157 5
1.057 7.005 7.301 5
1.057 7.005 7.301 5
1.057 7.005 7.301 4
1.013 6.924 7.516 1
1.013 6.924 7.516 5
0.899 6.852 7.554 5
0.899 6.852 7.554 5
0.899 6.852 7.554 3
0.831 6.746 7.53 2
0.831 6.746 7.53 5
0.673 6.627 7.497 5
0.673 6.627 7.497 5
0.673 6.627 7.497 3
0.616 6.545 7.42 2
0.511 6.43 7.66 5
0.511 6.43 7.66 5
0.338 6.32 7.636 5
0.338 6.32 7.636 3
0.338 6.32 7.636 2
0.219 6.22 7.53 5
0.219 6.22 7.53 5
0.171 6.162 7.439 5
0.171 6.162 7.439 3
0.171 6.162 7.439 2
0.286 6.239 7.315 5
0.286 6.239 7.315 5
0.396 6.339 7.167 5
0.396 6.339 7.167 4
0.396 6.339 7.167 1
0.511 6.426 7.037 5
0.511 6.426 7.037 5
0.616 6.502 6.831 5
0.616 6.502 6.831 3
0.616 6.502 6.831 2
0.544 6.564 6.692 5
0.544 6.564 6.692 5
0.401 6.488 6.692 5
0.401 6.488 6.692 3
0.401 6.488 6.692 2
0.372 6.426 6.913 5
0.372 6.426 6.913 5
0.463 6.459 6.927 5
0.463 6.459 6.927 4
0.463 6.459 6.927 1
0.602 6.426 7.143 5
0.65 6.402 7.224 5
0.65 6.402 7.224 5
0.65 6.402 7.224 4
0.492 6.426 7.205 6
0.338 6.382 7.056 5
0.338 6.382 7.056 5
0.338 6.382 7.056 4
0.252 6.454 6.764 1
0.252 6.454 6.764 5
