# Accelerometer Data File
# Started @Thu Mar 30 19:06:38 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.78 3.897 9.115 0
1.866 3.83 9.173 5
1.866 3.83 9.173 5
1.866 3.83 9.173 3
1.895 3.821 9.178 2
1.895 3.821 9.178 5
1.866 3.94 8.938 5
1.837 4.055 8.752 5
1.837 4.055 8.752 3
1.837 4.055 8.752 2
1.866 4.151 8.651 5
1.866 4.151 8.651 5
1.818 4.127 8.541 5
1.818 4.127 8.541 3
1.818 4.127 8.541 2
1.741 4.027 8.613 5
1.741 4.027 8.613 5
1.631 3.974 8.78 5
1.631 3.974 8.78 3
1.631 3.974 8.78 2
1.531 3.888 8.871 5
1.531 3.888 8.871 5
1.478 3.892 8.886 5
1.478 3.892 8.886 3
1.478 3.892 8.886 2
1.516 3.897 8.833 5
1.516 3.897 8.833 5
1.468 3.821 8.91 5
1.468 3.821 8.91 3
1.468 3.821 8.91 2
1.478 3.749 9.077 5
1.478 3.749 9.077 5
1.483 3.811 9.034 5
1.483 3.811 9.034 3
1.483 3.811 9.034 2
1.598 3.854 8.828 5
1.598 3.854 8.828 5
1.612 3.821 8.857 5
1.612 3.821 8.857 3
1.555 3.787 8.957 2
1.555 3.787 8.957 5
1.555 3.754 8.991 5
1.555 3.754 8.991 5
1.555 3.754 8.991 4
1.55 3.744 8.953 1
1.55 3.744 8.953 5
1.559 3.773 8.948 5
1.559 3.773 8.948 5
1.559 3.773 8.948 3
1.622 3.773 9.053 2
1.622 3.773 9.053 5
1.722 3.821 9.029 5
