# Accelerometer Data File
# Started @Fri Mar 31 10:01:26 GMT+02:00 2017
#
#
# sensor Vendor: Invensense
# sensor Name: ICM20610 Acceleration Sensor
# sensor Resolution: 0.0011971008m/sec^2; Max Range: 39.2266; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.113 6.473 7.286 0
0.113 6.473 7.286 5
0.113 6.473 7.286 3
-0.049 6.569 7.018 2
-0.049 6.569 7.018 4
-0.13 6.627 6.975 5
-0.13 6.627 6.975 5
-0.13 6.627 6.975 4
-0.187 6.607 6.918 1
-0.187 6.607 6.918 5
-0.259 6.67 7.114 5
-0.259 6.67 7.114 5
-0.259 6.67 7.114 4
-0.269 6.459 7.013 2
-0.269 6.459 7.013 5
-0.341 6.545 7.004 5
-0.341 6.545 7.004 5
-0.341 6.545 7.004 3
-0.269 6.665 6.913 1
-0.269 6.665 6.913 5
-0.154 6.646 6.798 5
-0.154 6.646 6.798 5
-0.154 6.646 6.798 4
-0.001 6.78 6.946 1
-0.001 6.78 6.946 5
0.094 6.722 7.214 5
0.032 6.641 7.411 5
0.032 6.641 7.411 4
0.032 6.641 7.411 1
-0.106 6.473 7.468 6
-0.106 6.473 7.468 5
-0.283 6.411 7.511 5
-0.283 6.411 7.511 3
-0.283 6.411 7.511 1
-0.369 6.43 7.554 5
-0.369 6.43 7.554 5
-0.412 6.402 7.507 5
-0.412 6.402 7.507 4
-0.412 6.402 7.507 1
-0.369 6.454 7.353 5
-0.369 6.454 7.353 5
-0.264 6.569 7.329 5
-0.264 6.569 7.329 4
-0.264 6.569 7.329 1
-0.192 6.555 7.396 6
-0.192 6.555 7.396 5
-0.025 6.512 7.507 5
-0.025 6.512 7.507 3
-0.025 6.512 7.507 2
0.07 6.545 7.923 5
0.07 6.545 7.923 5
0.056 6.373 8.095 5
0.056 6.373 8.095 3
0.056 6.373 8.095 2
0.032 6.287 8.196 5
0.032 6.287 8.196 5
0.075 6.358 7.981 5
0.075 6.358 7.981 3
0.056 6.373 7.823 3
0.056 6.373 7.823 4
0.19 6.392 7.669 5
0.19 6.392 7.669 5
0.19 6.392 7.669 3
0.223 6.459 7.66 2
0.223 6.459 7.66 5
0.161 6.473 7.674 5
0.161 6.473 7.674 5
0.161 6.473 7.674 3
0.161 6.531 7.454 2
0.161 6.531 7.454 5
0.223 6.588 7.406 5
0.223 6.588 7.406 5
0.223 6.588 7.406 3
0.41 6.742 7.277 2
0.41 6.742 7.277 5
0.424 6.746 7.301 5
0.424 6.746 7.301 5
0.424 6.746 7.301 3
0.295 6.703 7.392 2
0.295 6.703 7.392 5
0.166 6.627 7.061 5
0.166 6.627 7.061 5
0.166 6.627 7.061 3
-0.183 6.186 7.186 2
-0.183 6.186 7.186 5
-0.307 6.411 7.368 5
-0.307 6.411 7.368 5
-0.307 6.411 7.368 3
-0.398 6.387 7.214 2
-0.422 6.382 7.042 5
-0.422 6.382 7.042 5
-0.542 6.291 7.234 5
-0.542 6.291 7.234 4
-0.542 6.291 7.234 1
-0.154 6.469 7.87 5
-0.154 6.469 7.87 5
-0.374 6.196 7.052 5
-0.374 6.196 7.052 3
-0.374 6.196 7.052 2
-0.312 6.133 7.751 5
-0.312 6.133 7.751 5
-0.46 6.339 7.799 5
-0.46 6.339 7.799 3
-0.46 6.339 7.799 2
-0.221 6.387 7.526 5
-0.221 6.387 7.526 5
-0.164 6.43 7.444 5
-0.164 6.43 7.444 4
-0.164 6.43 7.444 1
-0.12 6.44 7.42 5
-0.12 6.44 7.42 5
-0.02 6.488 7.387 5
-0.02 6.488 7.387 3
-0.02 6.488 7.387 2
0.022 6.588 7.234 5
0.022 6.588 7.234 5
0.017 6.579 7.186 5
0.017 6.579 7.186 3
-0.096 6.483 7.372 2
-0.096 6.483 7.372 5
-0.14 6.402 7.435 5
-0.14 6.402 7.435 5
-0.14 6.402 7.435 3
0.017 6.435 7.238 2
0.017 6.435 7.238 5
-0.154 6.469 7.08 5
-0.154 6.469 7.08 5
-0.154 6.469 7.08 3
-0.029 6.607 6.941 2
-0.029 6.607 6.941 5
0.233 6.703 6.956 5
0.233 6.703 6.956 5
0.233 6.703 6.956 3
0.18 6.737 6.846 2
0.18 6.737 6.846 5
0.228 6.746 7.032 5
0.228 6.746 7.032 5
0.228 6.746 7.032 4
0.209 6.651 7.449 1
0.209 6.651 7.449 5
0.195 6.507 7.473 5
0.195 6.507 7.473 5
0.195 6.507 7.473 3
0.195 6.483 7.636 2
0.195 6.483 7.636 5
0.214 6.531 7.655 5
0.214 6.531 7.655 5
0.214 6.531 7.655 3
0.266 6.622 7.483 2
0.377 6.756 7.353 5
0.377 6.756 7.353 5
0.295 6.718 7.334 5
0.295 6.718 7.334 4
0.295 6.718 7.334 1
0.171 6.622 7.401 5
0.171 6.622 7.401 5
0.084 6.641 7.396 5
0.084 6.641 7.396 3
0.084 6.641 7.396 2
0.089 6.665 7.406 5
0.089 6.665 7.406 5
0.142 6.694 7.483 5
0.142 6.694 7.483 4
0.142 6.694 7.483 1
0.228 6.665 7.483 5
0.228 6.665 7.483 5
0.147 6.67 7.401 5
0.147 6.67 7.401 3
0.147 6.67 7.401 2
0.19 6.651 7.372 5
0.19 6.651 7.372 5
0.204 6.612 7.463 5
0.204 6.612 7.463 3
0.204 6.612 7.463 2
0.089 6.473 7.55 5
0.089 6.473 7.55 5
-0.029 6.373 7.564 5
-0.029 6.373 7.564 3
-0.029 6.373 7.564 2
-0.092 6.402 7.439 5
-0.001 6.445 7.344 5
-0.001 6.445 7.344 5
-0.001 6.445 7.344 4
0.017 6.43 7.387 1
0.017 6.43 7.387 5
0.037 6.43 7.368 5
0.037 6.43 7.368 5
0.037 6.43 7.368 3
0.07 6.493 7.258 2
0.07 6.493 7.258 5
0.056 6.531 7.253 5
0.056 6.531 7.253 5
0.056 6.531 7.253 4
0.08 6.56 7.162 1
0.08 6.56 7.162 5
0.094 6.607 7.147 5
0.094 6.607 7.147 5
0.094 6.607 7.147 4
0.175 6.574 7.262 1
0.175 6.574 7.262 5
0.185 6.55 7.339 5
0.185 6.55 7.339 5
0.185 6.55 7.339 4
0.219 6.536 7.329 1
0.219 6.536 7.329 5
0.171 6.517 7.339 5
0.171 6.517 7.339 5
0.171 6.517 7.339 4
0.118 6.454 7.368 1
0.051 6.416 7.344 5
0.051 6.416 7.344 5
0.084 6.43 7.229 5
0.084 6.43 7.229 4
0.084 6.43 7.229 1
0.123 6.459 7.238 5
0.123 6.459 7.238 5
0.118 6.454 7.085 5
0.118 6.454 7.085 4
0.118 6.454 7.085 1
0.195 6.507 6.98 5
0.195 6.507 6.98 5
0.233 6.488 6.98 5
0.233 6.488 6.98 4
0.233 6.488 6.98 1
0.314 6.517 7.066 6
0.314 6.517 7.066 4
0.281 6.483 7.147 5
0.281 6.483 7.147 4
0.281 6.483 7.147 1
0.343 6.44 7.214 5
0.343 6.44 7.214 5
0.271 6.44 7.219 5
0.271 6.44 7.219 4
0.271 6.44 7.219 1
0.276 6.488 7.123 5
0.276 6.488 7.123 5
0.324 6.55 7.052 5
0.324 6.55 7.052 4
0.324 6.55 7.052 1
0.257 6.607 7.171 6
0.161 6.555 7.176 4
0.161 6.555 7.176 5
0.161 6.555 7.176 4
0.185 6.588 7.248 1
0.185 6.588 7.248 5
0.199 6.545 7.358 5
0.199 6.545 7.358 5
0.199 6.545 7.358 4
0.262 6.574 7.54 1
0.262 6.574 7.54 5
0.247 6.612 7.425 5
0.247 6.612 7.425 5
0.247 6.612 7.425 4
0.219 6.655 7.377 1
0.219 6.655 7.377 6
0.214 6.698 7.31 4
0.214 6.698 7.31 5
0.214 6.698 7.31 4
0.276 6.775 7.296 1
0.276 6.775 7.296 5
0.266 6.789 7.248 5
0.266 6.789 7.248 5
0.266 6.789 7.248 4
0.266 6.804 7.229 1
0.266 6.804 7.229 5
0.262 6.775 7.205 5
0.262 6.775 7.205 5
0.262 6.775 7.205 4
0.29 6.785 7.305 1
0.257 6.78 7.281 6
0.257 6.78 7.281 5
0.185 6.775 7.238 5
0.185 6.775 7.238 3
0.185 6.775 7.238 1
0.238 6.756 7.238 5
0.238 6.756 7.238 5
0.286 6.737 7.329 5
0.286 6.737 7.329 4
0.286 6.737 7.329 1
0.204 6.756 7.305 5
0.204 6.756 7.305 5
0.175 6.698 7.334 5
0.175 6.698 7.334 4
0.175 6.698 7.334 1
0.161 6.641 7.521 6
0.161 6.641 7.521 5
0.156 6.584 7.559 5
0.156 6.584 7.559 3
0.156 6.584 7.559 1
0.214 6.603 7.669 5
0.214 6.603 7.669 5
0.295 6.641 7.602 5
0.295 6.641 7.602 4
0.295 6.641 7.602 1
0.276 6.665 7.588 5
0.276 6.665 7.588 5
0.132 6.641 7.43 5
0.132 6.641 7.43 4
0.132 6.641 7.43 1
0.051 6.636 7.243 6
0.017 6.66 7.234 5
0.017 6.66 7.234 5
0.017 6.66 7.234 3
0.061 6.675 7.119 1
0.061 6.675 7.119 5
0.061 6.636 7.133 5
0.061 6.636 7.133 5
0.061 6.636 7.133 4
0.113 6.694 7.109 1
0.113 6.694 7.109 5
0.238 6.646 7.339 5
0.238 6.646 7.339 5
0.238 6.646 7.339 4
0.314 6.574 7.545 2
0.314 6.574 7.545 5
0.247 6.497 7.621 5
0.247 6.497 7.621 5
0.247 6.497 7.621 3
0.214 6.464 7.602 2
0.214 6.464 7.602 5
0.238 6.536 7.363 5
0.238 6.536 7.363 5
0.238 6.536 7.363 3
0.281 6.56 7.042 2
0.281 6.56 7.042 5
0.257 6.636 6.817 5
0.257 6.636 6.817 5
0.257 6.636 6.817 3
0.333 6.636 6.673 2
0.333 6.636 6.673 5
0.362 6.627 6.707 5
0.381 6.612 6.894 5
0.381 6.612 6.894 3
0.381 6.612 6.894 2
0.276 6.517 6.941 5
0.276 6.517 6.941 5
0.209 6.459 6.961 5
0.209 6.459 6.961 3
0.209 6.459 6.961 2
0.152 6.517 6.865 5
0.152 6.517 6.865 5
0.214 6.56 6.822 5
0.214 6.56 6.822 3
0.214 6.56 6.822 2
0.247 6.579 6.783 5
0.247 6.579 6.783 5
0.319 6.631 6.975 5
0.319 6.631 6.975 3
0.319 6.631 6.975 2
0.324 6.612 7.032 5
0.324 6.612 7.032 5
0.195 6.478 7.281 5
0.195 6.478 7.281 3
0.195 6.478 7.281 2
0.013 6.464 7.425 5
0.013 6.464 7.425 5
-0.101 6.435 7.435 5
-0.101 6.435 7.435 3
-0.101 6.435 7.435 2
-0.068 6.483 7.382 5
-0.044 6.574 7.281 5
-0.044 6.574 7.281 5
-0.044 6.574 7.281 4
0.041 6.497 7.502 1
0.041 6.497 7.502 5
0.104 6.488 7.76 5
0.104 6.488 7.76 5
